[00:00] 主持人：歡迎來到好聲音。
[07:41] 主持人：所以看待別人就是很好，很常會造成我們的比較心態啊，就覺得我自己不好，對不對？老師，那我們就回過頭來啊，我想花多一點時間，就看待這種從小到大，不管是父母親對我們的期待也好，或是包含我們在學校裡面有的排名，然後事實上到公司呢，公司其實也是排名。就是銷冠、績冠，績效就只有一個，第一名就拿最多，那其他第二名拿。就是這種所謂的比較，其實好像間接的就會把我們的這種好跟不���啊，建立在別人跟我們之間的相對性上面。
[08:20] 來賓：是。
[08:20] 主持人：而不是在我們自己對自己的肯定上面，對不對？所以老師你怎麼去看、看待，因為你、你、你前面講的讓我非常就是感動就是你一定要看、看到自己，要對自己好。那你怎麼去看待我們碰到這種內耗的情況，當知道之後，要怎麼開始讓自己變好呢？
[08:39] 來賓：我當然覺得這有一定的難度，但我們還是可以試試看，就是第一個就是我們先去真正的去瞭悟或頓悟說，其實那個比較，其實沒有一個實質的意義。
[08:53] 主持人：呀。
[08:54] 來賓：因為如果你真的以為啦，你可能過去會以為說，我只要知道有人還在我前面，我就會跟上他。我就追上他。我只要知道別人在我後面，我就會放棄。
[09:05] 主持人：對。
[09:06] 來賓：可是這沒有意義。
[09:07] 主持人：真的沒有意義。
[09:08] 來賓：真的沒有意義，就像我們跑馬拉松，有人在你前面，有人在你後面，總是會有人嘛。但是你總是有自己的腳步嘛，而且你總是要完成你自己要完成的東西嘛，其實跟你前面跟後面的人。
[09:18] 主持人：不關黑啊。
[09:19] 來賓：不關。
[09:19] 主持人：你不是跑第一名幹嘛，對不��？
[09:21] 來賓：對，但是就是說我們從小就有一個不安，那個不安就是因為我們的家長，我們的環境，甚至學校老師，就常常會拿別人來跟我們比。
[09:31] 主持人：就別人的孩子，別人隔壁班的。
[09:32] 來賓：所以我覺得這裡面還有一個核心問題就是說，我們每一個人啊，可能在小時候的環境跟成長的過程，本來就不是被視為你自己被好好認識。
[09:43] 主賓：嗯。
[09:43] 來賓：對，因為他、他只是希望你的表現就是符合期待，或者是不要跟別人不一樣，你要有發揮你的正常。我用正常這兩個字。但是事實上就是說，每個人如果都獨特，每個人都有自己的強項跟自己的限制，那麼其實沒、沒需要嘛，你沒需要去拿自己的強項跟別人的弱去比，你也不需要拿自己的弱去跟別人的強項比，而是你要回來好好的認識你自己。那我覺得你如果要突破這一點就是說，你試著靜下心來，停下來。你願意花時間來回看你自己，真的說，我跟我自己好像跟了一段時間，可是我跟我自己很不熟。我現在有沒有辦法就是不要再把眼睛一直往外看，往那個我以為很厲害的，往、往那個我以為我要崇拜他的人看，而是真的回來看我身上的資源是什麼，我這個人���為我的生命的特長是什麼，我的才能是什麼，我真正的去透過我這一生的體驗跟歷練，把我發揮出來。當你能夠專注而聚焦在自己身上的時候，我認為你會解開那個魔咒。
[10:47] 主持人：真的，我覺得其實看待自己這件事情我們通常不太會。
[10:50] 來賓：對。
[10:51] 主持人：就是老師上一集有特別說的，我們比較容易都試著去滿足別人的期待，尤其是假設你像說上次講說看護也好，或是醫生也好，或老師也好啊，學、比如說講老師也好，就是你會把自己好不好，仰賴學生的成績好不好。但是老師說學生成績好不好是他的事，你知道嗎？
[11:15] 來賓：是他的事啊。
[11:16] 主持人：是不是他的事，對不對？
[11:17] 來賓：我也認為是他的事。
[11:18] 主持人：是吧？
[11:18] 來賓：是學生的事啊。
[11:19] 主持人：對，那如果說今天你覺得學生成績好，那是你的光榮，學生成績不好，哇是你的問題，你就很累，因為你沒有辦法去控制他該怎麼做。
[11:29] 來賓：是。
[11:30] 來賓：所以就會跟著他的情緒七上八下，又很想控制他，又發現自己控制不了他。所以這裡面就有很多的洩氣，然後很多的沮喪。那這個沮喪洩氣久了，可能自己消耗了，其實對他、對這個學生來講，你可能就會用更負面的態度來對待他。所以你就會聽到常常這個學校環境就是，老師突然之間很想教訓某個學生的時候，他用字遣詞也變得非常的過分。其實他也是因為很沮喪。
[11:57] 主持人：他也內耗了。
[11:58] 來賓：內耗了，沒有能量了。然後又覺得這樣子的一個學生的情況沒有辦法轉變，因為他太期待他轉變來證明他自己的價值。這也就是為什麼我們常常在界線之間，沒有辦法去真正的分化出每一個人的自我的獨立界線。那當然這還是牽扯到文化啦，因為據我接觸老師們的經驗來說，其實老師他們也希望不要比成績啊，他們也希望不要排名次，可是家長會催啊。
[12:26] 主持人：沒錯。
[12:27] 來賓：家長會說你要給我這個東西啊。
[12:29] 主持人：就像我們之前也會覺得很奇怪，跑去學校說怎麼沒有成績是一樣的。後來老師這樣跟我們解釋的時候，我們才發覺這個思維模式一變啊，我們家長也是要需要被教育的。
[12:39] 來賓：是，但是好哥是明理的家長啊。你知道我們如果是以很多我聽到的例子是，很多家長他、他只要他的目的達到或他的期待完成，他其實並沒有一定真的要做這個師親溝通。他沒有真���要知道老師有沒有理念啊，因為對他來說，如果啦，如果今天我、我、我的家族就是一個醫師世家，一個教授世家，那我本來生兒育女的期待就是我從小就會培養他未來是醫大畢業。
[13:08] 主持人：沒錯。
[13:08] 來賓：那所以我可能就從幼稚園、從小學一年級就開始盯他了。所以我不能有一點閃失。那特別像我以前有一些跟一些所謂醫師世家的太太們接觸的經驗，那那些太太們就是專心要教育他的子女成為未來的醫師。所以他所有的價值都在這件事情。
[13:27] 主持人：都放在上面。
[13:27] 來賓：對，那所以如果這件事情沒有辦到，他其實是會被他的整個家族，就是他先生、他、他的公公，甚至是其他的親戚們去數落說他沒有做好一個家庭主婦，或者是一個媽媽該做的責任。你說這壓力大不大？
[13:42] 主持人：很可怕，其實老師你剛剛講這一段，也是我在看隱性內耗的時候，我自己不知道該怎麼去突破，但我想請教老師，因為其實像你剛剛講這個情況，它其實是一個圈子的價值體系。就是一整個圈子都是這個樣子。
[13:58] 來賓：一整個。
[13:58] 主持人：對啊，我包含看到韓劇，就曾經有一個媽媽，跟你剛剛講一模一樣，就是他兒子���，一直被培養到醫大之後，突然決定不念了，他要去他自己喜歡的事情。他媽媽說我這一輩子就是為了讓你將來能夠當醫生，結果你這樣放棄之後，你怎麼對得起我？
[14:15] 來賓：是。
[14:16] 主持人：你怎麼對得起我？
[14:17] 來賓：你怎麼對得起我？
[14:17] 主持人：對得起我，你知道嗎？那、那老師你怎麼去看待，當如果我們陷入到這一個價值體系，應該與其說框架到比較好聽，是個牢籠的時候，我們該怎麼自處？就是我發現了，我也知道我被這個價值體系，我、我講情緒勒索可能稍微重，就是差不多類似這種概念，我們、我們要怎麼做自處會比較好呢？
[14:39] 來賓：我會覺得說，這當然還是要端看每一個這個孩子，或者是快要屆齡這個成年人的孩子，他怎麼去看待這件事。因為像有些人，因為他從小真的很依賴媽媽，或者是從小真的就是媽媽陪著他，他也知道媽媽的辛苦，媽媽的為難。所以對他來說，他可能要去滿足媽媽或符合媽媽的需求，已經是他人生非常大的目標了。那所以這個時候他也許就真的會採取犧牲自己的需求或犧牲自己的這個心意。但是我也遇到就是說，他很清楚的知道他沒有辦法去做醫生。原因是因為他覺得醫生有一個基本的像溝通能力啊，然後他願意去看一些疾病的狀態。可是對他來說，他不想接觸疾病，他雖然有能力念到醫大，但是他在實習的時候，他可能就已經開始感覺到那個痛苦了。所以像這樣子的話，其實我就覺得說這個很需要跟家裡的人溝通。那當然我當然還是會遇到很多家、家長是不願意放手的啦。他會認為說，這其實就是你的理由，那你就逼自己一下嘛，這樣。那所以我們就會去看這個當中會不會有一些我們可以去釋放善意的地方。所以像這樣的孩子，我後來跟他稍微的聊一聊、談一談，我說，那至少你有、你就是因為你已經醫大了，然後可能醫大也要畢業了，那你沒有一個機會就是把執照考到，讓你媽媽覺得說，他的心願是完成。
[16:05] 主持人：到達一個階段。
[16:06] 來賓：到達一個階段，那或者是甚至是你可能已經把什麼住院醫師也、也、也進行完畢。那但是呢，就是說當你說，我真的到這裡真的就是我的極限，我的界線了，我接下來覺得我的人生還有非常重要的事，我覺得這個就是你要為你自己試著去溝通，或者是試著去讓他們知道為什麼你人生會做這個選擇。這個選擇不是為了背叛，也不是為了要辜負，也不是��了要讓他們傷心。這個選擇是因為對你來說，你會非常清楚知道你身心上的限制。這是一個對自己的負責啦。但是我也知道說這是一個長期的事情。那有些時候你不能急於一時，所謂急於一時就是說，我好希望他們都理解我，我好希望他們都諒解我為什麼要這麼做。有些時候他確實需要蠻一段時間，等到你真的把自己安身立命了，然後你自己想要去做的事情也有一點小成果了，你真的也發揮出你想做的，你不是真的只是在那邊說我不要當醫生，但是我也不知道我要幹嘛。如果你真的做到一點成績，或者是做到一點你自己能夠安身立命的一點呈現的時候，我覺得有一些父母會、會比較軟化。
[17:18] 主持人：像老師你剛剛講這一段，就是有些父母比較軟化，那我就顛倒過來講一下好了，就是比如說像我們如果自己內耗的話，我們就需要覺察嘛，需要找一些出口嘛。但很多的時候，當我們找到出口，也讓自己覺察的時候，你會發現那個原來讓你內耗的人他自己也很內耗，就像我們剛剛那個case是一樣的，媽媽也很內耗，爸爸也很內耗，或者是你身旁的老闆也很內耗，或夥伴也很內耗。如果說你、你。
[17:44] 來賓：大家都在內耗。
[17:44] 主持��：如果你可以選擇離開他當然是一種方式，但你不得不跟他相處的時候。
[17:49] 來賓：是。
[17:50] 主持人：有的時候我們會希望說，哎呀，我都已經跳脫這個牢籠了，你能不能也跳脫？你會怎麼建議就是當我們自己已經覺察到我們已經開始不再內耗，變成一個很健康的人的時候，但你身旁呢至親也好啦，或是非常好的夥伴也好啦，除了去介紹他看隱性內耗這本好書之外，你會怎麼建議他讓他也可以進入到一個覺察跟自我變得越來越好的這種道路上呢？
[18:19] 來賓：嗯，這個、這個問題它當然也有它的難度啦，因為我認為每一個人會被套牢的地方，會被綁架的地方都不太一樣。
[18:27] 主持人：不太一樣。
[18:28] 來賓：對，不太一樣。但是如果這是朋友，或者是這是我非常看重的人，而我知道他在一個內耗的狀態，比如說我有很多的以前是好同事，後來變成好朋友，其實他們都是醫護人員。那醫護人員他們其實一來是他們很有責任心，然後很能夠為他們的工作去負、負擔責任，甚至他們後來都變成是主管階層的。那在這種情況之下，他有更多的這個責任是沒有辦法卸下，他有更多的這樣子的一個角色是越來越複雜的喔。那但是基本上呢���如果他們來跟我講他的心累，然後他跟他的團隊可能會發生一些可能因為能量不足而產生了一些糾紛或一些衝突，我覺得就一個朋友立場，或者是一個親近關係的立場，我覺得我們還是第一同理是一定要的嘛。
[19:16] 主持人：同理要。
[19:17] 來賓：對，一定要是同理。那第二是，因為我們要負、恢復他一點能量。
[19:22] 主持人：要賦能給他。
[19:23] 來賓：對，要賦能給他。那所以我覺得我們要看見他在這個過程，他可能還在堅定的，他可能還在想要去達到的，也就是他為什麼還願意在這個位置上。然後你怎麼樣讓他知道說，這裡面一定有你想做到的事情，而我看到了。我們是真的看到，然後再來就是說，肯定他在這個過程之中，雖然他現在真的很累很疲乏，我們都知道，但是他在那個過程中一定也有他辦到的事情。
[19:49] 主持人：有道理。
[19:49] 來賓：就那個成就感，那個肯定感，就是要讓他感覺得到。那當然最後就是一點小提醒，那個提醒就是說，你也要感覺一下你自己，想想你自己。那如果你不能，比如說我、我會跟我的朋友說，你雖然不一定能夠安排一次出國，但是我覺得有一天，一天，因為他們排假都很跳嘛。我說，如��有一天你可以到郊外走一走，離開這個城市，給自己一點點這種緩慢、輕鬆的這種生活，我、我覺得你是值得的。
[20:19] 主持人：沒錯。
[20:19] 來賓：對，我們不要去說你是應該，我們要說你是值得的。讓他的那種自我價值感能夠在我們的回應裡面能夠真正的再提升多一點點。
[20:29] 主持人：沒錯，就是身為我們看得見這個你身旁的好朋友，你要讓他就是在跟你對話過程當中，覺得你有看見他。
[20:38] 來賓：是。
[20:38] 主持人：而且不是只看見他，是看見他的好。那最後的話，當然也要試著提醒他，不是只有我看見你就好，因為我只不過在你身旁一下子而已，真的跟你在一起的是你自個兒啊，對不對？你不能說我都看見你好，你自己都看不見，媽那不是有鬼嗎？對不對？你都希望我鼓勵你，對不對？你都希望我鼓勵你，那你為什麼不鼓勵你自己？那、那如果是，因為我覺得不用太大，那就回到我們上一集特別講的，就是如果再這種情況之下，或許可以把我們上一集老師提點的，每一天呢花三個簡簡單單的時間，去看見自己、感受自己、解放自己，然後呢沒事沒事，大家彼此，圈子啊，如果是正向的話，互相鼓勵，這個內耗呢基本上���會變成賦能。
[21:24] 來賓：是。
[21:25] 主持人：就會越來越好。
[21:26] 來賓：是。
[21:27] 主持人：是吧？
[21:27] 來賓：對，我們就empower嘛，然後我們就感覺到這個能量其實是一個有機的能量，而不是感覺到說，像有一些職場會有一些團體，當有人是負能量，就是比較消耗的情況，就會發現那個環境抱怨是很多的。
[21:41] 主持人：真的。
[21:41] 來賓：因為互相影響嘛。
[21:42] 主持人：真的。
[21:43] 來賓：大家都在很負面的感覺上，然後所以這個時候他們甚至不覺得那個抱怨是個問題了。
[21:48] 主持人：真的。
[21:48] 來賓：但是事實上整個身心都在這個過程中非常的好損。
[21:52] 主持人：很耗。
[21:53] 來賓：很耗啊。
[21:53] 主持人：因為、因為那個抱怨它都是負能量。
[21:56] 來賓：是。
[21:56] 主持人：我還記得有一次我們一個就是離職同仁在一塊聚會的時候，一起罵一個老闆。
[22:03] 來賓：嗯。
[22:03] 主持人：就都已經離職了，一起罵一個老闆。後來就有一個比我們稍微年輕的女孩，也是我們同、同、同儕，他說，哇，都已經離開這麼久了，你們還逃脫不了他的魔掌。
[22:15] 來賓：哎。
[22:16] 主持人：從、就、就是有智慧��人呢。
[22:18] 來賓：他看。
[22:19] 主持人：就是非常清醒、非常看清。他一講完之後，我們說對，不說了。我們接下來，我們不說了，不說了，對不對？
[22:24] 來賓：結束。
[22:25] 主持人：不要讓他們都已經離開了，還持續不斷。
[22:28] 來賓：因果不散。
[22:28] 主持人：因果不散，對，因果不散，不像話，對不對？所以我想透過這本書啊，《隱性內耗》，好哥強烈建議大家可以把這本書帶回去，最簡單的一個做法，先把書翻開，做個簡單的測試，因為如果你不測試、不覺察，你可能。
[22:45] 來賓：不知道。
[22:45] 主持人：就不知道，你沒有辦法去解決一個你不知道的東西。然後當你知道，不管說是極度的內耗或小小的內耗，小小的內耗坦白講是個動力，你就放心了嘛。然後還是可以把書看一看，去看看你身旁當中的好朋友，有沒有陷入。
[23:03] 來賓：過度消耗。
[23:04] 主持人：過度的消耗的狀況。然後有機會，幫自己看見自己，也試著看見別人在幫別人看見他自己，然後持續不斷給自己鼓勵。
[23:15] 來賓：是。
[23:15] 主持人：我們坦白講這人生很短，但是最貴的從來不是賺錢，這工作之餘要好好照顧自己，鼓勵自己，對自己好，因為只有自己好，你才有更大的能量去對別人好。我們再次謝謝這個蘇老師來跟我們帶這麼棒的書，也希望大家把這本《隱性內耗》帶回去，讓大家都不再內耗，活得越來越好。謝謝老師。
[23:37] 來賓：謝謝，謝謝好哥，謝謝大家。
[23:39] 主持人：拜拜。
[23:40] 來賓：拜拜。
[23:41] 主持人：好聲音，我們下一集再見。
