[00:00] 人生迷惘 职场内好
[00:03] 欢迎收听 任性逆逆 机智生活
[00:06] 欢迎收听 任性逆逆 机智生活
[00:15] 我是Mandy 曼蒂 逆逆
[00:17] 我是神灾教母 艾比
[00:18] 艾比 今天呢
[00:20] 我们要采访一位作家
[13:11] 而且就是敬酒不是拿小杯子
[13:13] 他们都是拿大碗
[13:14] 就是一个碗工
[13:16] 整个旅程都是醉的
[13:17] 整个旅程都是醉的
[13:19] 我从来没有在任何一趟工作里
[13:21] 就是从早到晚都是醉的
[13:23] 然后就是
[13:23] 回来的时候
[13:25] 就所有部落客
[13:26] 然后我们就私下交流说
[13:27] 那个那个什么东西
[13:28] 你有没有拍到
[13:29] 因为大家都是醉的
[13:30] 就是我们大家都
[13:33] 不是很确定自己拍
[13:34] 然后就很
[13:34] 回来就发现
[13:35] 哇缺东缺西
[13:36] 然后大家就在那里
[13:37] 臭照片
[13:38] 然后就想说
[13:39] 有没有在什么场合
[13:40] 你还没有醉
[13:40] 你有拍吗
[13:41] 所以去内蒙古
[13:43] 记得要带节酒饮
[13:45] 真的很
[13:45] 因为他们都是
[13:46] 有被画压
[13:47] 你要产出多少篇文章
[13:49] 多少照片
[13:50] 影片的人喔
[13:51] 对
[13:51] 最到一个完全无法拍到任何素材
[13:54] 就是大家都有拍
[13:56] 但是有时候就回来
[13:57] 看一下为什么我的那个照片
[13:58] 交都是错的啊
[14:00] 不的
[14:01] 就晃的
[14:02] 然后想说哇惨了
[14:04] 然后我记得好像又缠五篇文章吧
[14:06] 然后我想说哇照片
[14:08] 然后就赶快去问别人
[14:09] 然后发现所有人都一样
[14:10] 我们后来就瞒着那个
[14:14] 瞒着旅行社人
[14:15] 自己成立了一个那个
[14:16] 互交流
[14:17] 互助群族
[14:19] 彼此站住照片
[14:21] 然后还要小心用不一样的照片
[14:23] 不能看起来都是同一张
[14:24] 这样就会被发现
[14:26] 我们照片都没有拍好
[14:27] 太好笑了吧
[14:29] 怎么会有这种事情
[14:31] 那一趟我真的印象深刻
[14:33] 太好笑了
[14:34] 那你自己的那个呢
[14:36] 然后我自己的
[14:37] 我自己去的话
[14:38] 我印象很深
[14:39] 是有一次
[14:39] 我就去了一个
[14:43] 很荒
[14:44] 就是东北的很小很小的那个村镇
[14:48] 对
[14:48] 然后当时我也就是要去住
[14:51] 然后才发现哇
[14:51] 那整个村镇里面
[14:53] 都没有任何可以接待外宾的住宿因为中国规定台湾人是一定要住在外宾的旅馆对然后我当时就一间一间去问然后就问到都没有然后后来就有一家人说
[15:06] 那不然就我带你去那个公安那里登记吧
[15:10] 然后所以我们就一起去找了公安
[15:13] 然后我第一次就是在警察局
[15:17] 就是被拿
[15:19] 就是写了一张就是像是报案单的东西
[15:21] 然后写完以后就还拿着那个台报证
[15:23] 然后被就是前后左右的
[15:25] 就是拍了很像那个犯罪的照片
[15:27] 然后就是全部拍完以后
[15:29] 然后他们就把
[15:30] 就是公安就开警车
[15:32] 把我们送回去
[15:33] 然后送回去以后
[15:35] 他就看了一看那个环境
[15:36] 然后他就说
[15:36] 这不行耶
[15:38] 我觉得就是这个
[15:38] 还是不能接待外宾
[15:40] 我觉得你要搭车去别的镇
[15:42] 然后我就想说
[15:43] 但是我要在这里考察
[15:44] 我明天一大早就要去警区
[15:46] 我要怎么去别的镇
[15:47] 然后后来公安就说
[15:49] 不管反正
[15:49] 你就想办法
[15:50] 再待会儿的车离开吧
[15:52] 那就是幸好公安也没有要
[15:54] 他们就离开了
[15:55] 然后那个家庭就说
[15:56] 好吧那我这里不能接待你
[15:58] 但是就是在更远一点点的家
[16:00] 就是他们有个亲戚
[16:02] 那你比较就是更荒凉一点点
[16:04] 不在主街上
[16:05] 他觉得不会被发现
[16:06] 然后所以我就被送去了
[16:08] 那个在村镇边缘的
[16:09] 就是被玉米田环绕的一个家里
[16:12] 然后到了那个家里以后就说
[16:14] 那如果真的有什么别的
[16:17] 就是别的人来访什么
[16:19] 你就要跟他们说
[16:20] 你是我女儿在大学认识的
[16:22] 就是福建那边的同学
[16:24] 因为他们说我们讲话
[16:26] 强调是一样的
[16:27] 他说你教授是那里的同学
[16:29] 然后就是
[16:30] 然后住进去以后
[16:31] 我才发现
[16:32] 哇他们的那个住宿
[16:33] 就是刚刚有提到
[16:34] 马桶上面是脸喷头
[16:36] 那边的话是
[16:37] 家里是没有洗澡的
[16:39] 然后也没有厕所
[16:40] 然后他们就说
[16:42] 哇就是街上
[16:44] 就是走路大概五分钟的地方
[16:46] 有一个就是公共的茅厕
[16:48] 然后他就是一个洞
[16:50] 对
[16:50] 然后他说如果你需要洗澡的话
[16:52] 就我们要带你进城
[16:53] 就是城里有公共澡堂
[16:55] 他说他们大概可能一个礼拜进去洗一次
[16:57] 但这就是时间有点久远
[16:59] 我不确定现在这样的地方还存不存在
[17:02] 但我之前去写书在那个比较荒凉乡镇
[17:04] 这样的地方还存在
[17:05] 对
[17:06] 然后他就说好
[17:07] 然后我就说好
[17:08] 然后我就也就是跟那个毛测和平相处
[17:11] 然后到了晚上的时候
[17:12] 我要就请钱
[17:14] 他就拿来了一个小水桶
[17:16] 然后我就说
[17:17] 为什么会有小水桶
[17:18] 然后他说哇
[17:19] 因为东北现在已经就是秋天了
[17:21] 就是入夜以后天气会很冷很冷
[17:23] 你不会想出去的所以如果你晚上有需要的话就是你就可以使用这个小水桶就我的真没有想过在小水桶上上厕所对会在会拿到一个像是
[17:35] 妙湖的小水桶
[17:36] 对
[17:37] 傻眼耶
[17:39] 什么事情都有
[17:40] 什么就什么都会发生
[17:42] 就是对啊
[17:42] 我觉得彩线蛮有趣
[17:44] 就是会发生很多很奇妙的事情
[17:46] 很佩服这些旅游
[17:47] 作家旅游部落客
[17:48] 你们的应变能力应该超强
[17:50] 真的
[17:51] 就只能
[17:52] 但就没办法遇到
[17:54] 就只能想办法解决了
[17:55] 因为你就是签约啦
[17:57] 你书就是要写出来啊
[17:58] 就是你就是要踩点
[17:59] 而且就像刚刚提的
[18:01] 我还可以有伙伴可以互助
[18:03] 但是我写说话
[18:04] 我就是只有一个人
[18:05] 所以如果我回来
[18:06] 发现就是没有得到我要的东西
[18:08] 我就没救了
[18:09] 对对对
[18:10] 所以就是我觉得变成旅游作家
[18:13] 或者说你真的一直在旅行路上
[18:15] 真的解决事情的能力
[18:16] 会莫名其妙变很好
[18:18] 因为太多奇怪的事情要解决了
[18:20] 很佩服欸
[18:22] 而且其实我觉得他也有遇到一个
[18:25] 我觉得跟之前我们提过
[18:26] 另外一位作家雪儿的状况是一样
[18:29] 就是你长期
[18:30] 你以这件事情作为你的主要的职业的时候
[18:34] 你会变得很孤单
[18:36] 对 这件事情怎么办
[18:38] 如果你觉得很孤单的时候
[18:40] 我觉得我比较幸运一点的事情
[18:43] 是我是一个超级超级无敌哀
[18:47] 超级超级无敌享受自己世界
[18:49] 就是我之前测那个测验
[18:52] 我的爱是97%
[18:53] 哇
[18:53] 对就是我是一个
[18:55] 程度很高
[18:56] 可以很高在自己世界的人
[18:58] 对那除了这个以外
[19:00] 就我觉得还是会有一些
[19:01] 就是其他
[19:03] 可能不一定是同个产业的朋友
[19:05] 对那又或者是
[19:06] 虽然就是真的是没有同事
[19:08] 或者是写说的时候
[19:09] 确实有时候会有点孤单寂寞
[19:12] 但我觉得至少
[19:13] 就是在写说过程里
[19:14] 就是你还是会有
[19:15] 没有同事但有合作伙伴
[19:17] 像是编辑
[19:19] 或者像是刚刚提到雪儿
[19:20] 因为就我跟雪儿
[19:21] 其实私下也就是好朋友
[19:22] 对那他也算是我的
[19:24] 就是很前辈
[19:26] 因为他真的分享很久了
[19:27] 然后而且就是
[19:28] 把自己经营的非常非常好
[19:31] 然后虽然像我在写书的过程里
[19:33] 有什么问题啊
[19:34] 或者是我遇到什么
[19:34] 就我其实会去找
[19:36] 同样产业的人
[19:37] 就是一起聊聊天
[19:38] 就我们还是有
[19:39] 还是有朋友的
[19:40] 虽然没有同事
[19:42] 但我们还是有一些
[19:43] 同产业的朋友的
[19:44] 对
[19:44] 还不是这么真正的孤单
[19:46] 我觉得最孤单的地方就是
[19:48] 你寫作这件事情没有人可以帮你
[19:51] 但除了这个以外
[19:52] 就是以人际上来说
[19:54] 我觉得还可以
[19:55] 对
[19:55] 那你
[19:57] 我其实都还蛮好奇啊
[19:59] 就是
[19:59] 在作为旅游作家的这一条路上啊
[20:03] 有没有什么样子多种的这个收入来源
[20:07] 因为我们上次在聊雪儿的书的时候
[20:10] 其实我们有讲
[20:11] 就是雪儿有跟我讲过
[20:13] 她的多元的收入来源是什么
[20:15] 那你的多元收入的组合会是什么
[20:17] 就是我其实在书里也有分享到
[20:20] 就是收入
[20:21] 因为对于自由业和旅游作家来说
[20:22] 这件事情真的太重要了
[20:24] 对对对
[20:25] 那就是每个旅游作家
[20:28] 我认识的每个旅游作家
[20:29] 主要的收入来源都不一样
[20:31] 对像我知道有一些人
[20:33] 就是团购做的非常非常的好
[20:35] 对那也有一些人是
[20:37] 他甚至自己出门的时候会做代购
[20:39] 对然后但是
[20:41] 或者是也有很多人是
[20:43] 就是业配很多啊
[20:44] 或者是像有些人产能很高的话
[20:46] 他其实广告费可能很好
[20:48] 或者是尤其是就是现在
[20:50] 不管是社群还是部落格
[20:51] 都会有广告费嘛
[20:52] 就他的广告收入
[20:53] 可能就是其实非常非常的高
[20:55] 然后还有就是
[20:56] 以旅游坐家和部落客来说
[20:58] 最普遍的
[20:59] 就是大家通常都会有的
[21:01] 就是联盟行销
[21:02] 就是你今天推荐了住宿啊
[21:05] 推荐了旅游行程什么
[21:07] 那网站就是会退佣给你
[21:11] 对对对
[21:11] 那还有就是业配
[21:12] 这些都是最常见的
[21:14] 那我自己来说的话
[21:15] 因为我其实不是一个
[21:17] 在网路上超级超级活跃的人
[21:21] 对那所以这些东西
[21:22] 我当然同时也有在做
[21:24] 但对我来说
[21:24] 我现在最主要收入来源
[21:26] 其实就会还是写书
[21:27] 对就是
[21:28] 不管是就是帮各个就是旅行社
[21:32] 我有时候会帮旅行社写文案
[21:35] 对
[21:35] 然后会写就是像刚提到的旅游指南
[21:38] 对
[21:38] 那另外的话
[21:39] 就是我现在也有跟旅行社合作
[21:41] 就是我会开团
[21:42] 就是我自己去了一些
[21:43] 就是我很喜欢的地方
[21:45] 或者是我很想去的地方
[21:46] 那我就把我很喜欢的景点
[21:48] 就是跟旅行社一起讨论
[21:50] 然后弄成一支行程
[21:51] 然后就是带我的读者一起出去玩这样子
[21:54] 对
[21:55] 那这些就是
[21:56] 我现在就是其实也是
[21:58] 就是各个地方来
[21:59] 你要说什么东西是主力的话
[22:00] 就也真的没有
[22:01] 就是很多很多一起
[22:03] 然后就是凑成了一个
[22:05] 足够我生活
[22:06] 和足够我继续旅行的一笔费用
[22:08] 我那时候我记得
[22:10] 我对Jesse
[22:11] 后面她在做这个旅行团的时候
[22:14] 印象很深
[22:15] 可是她去俄罗斯
[22:18] 你那时候有一阵子
[22:19] 跑俄罗斯的时候
[22:20] 那我记得去那个贝加尔湖
[22:22] 然后大家看你的照片
[22:24] 就是疯了
[22:24] 有没有因为太漂亮了給我躺在冰上是甚麼意思然后回来就有做行程跟旅行社合作是不是贝加尔胡的
[22:35] 就是后来行程没有出
[22:37] 但就是我写了蛮多的文章的
[22:40] 我觉得那个地方
[22:40] 根本都被他吵起来的
[22:42] 对我也觉得
[22:43] 以前不太有人会去知道
[22:46] 想要往那个地方走
[22:47] 对
[22:48] 俄罗斯以前还没有那么热门
[22:51] 大家顶多就知道
[22:51] 他们的首都而已吧
[22:53] 所以你最近还有在带团吗
[22:57] 我最近有在开团
[23:01] 但我不会实际带团
[23:03] 就是我还是
[23:04] 就是那个团上会配
[23:05] 专业的领队和导游
[23:06] 那你会跟吗
[23:07] 我有些会跟
[23:09] 有些不会跟
[23:09] 就是通常来说
[23:10] 我会跟的是第一团
[23:12] 就是手法团
[23:14] 或是前面两团
[23:15] 那后面的话就是
[23:16] 我会把就是我们实际去完
[23:18] 然后顺过的行程以后
[23:19] 我就是继续推荐
[23:21] 对但我自己就不会跟
[23:22] 因为如果真的要一直跟的话
[23:24] 我其实就没有办法做其他的事情了
[23:26] 对对对
[23:27] 那我还是想要维持
[23:29] 就是我现在可以多方面的
[23:31] 什么事情都做一点的那个状态
[23:33] 就我比较喜欢那样子的生活
[23:35] 就是我其实是个不太喜欢
[23:36] 一直做同样事情的人
[23:38] 对而且我觉得就是
[23:39] 如果我不断不断不断的
[23:41] 去同样一个地方
[23:43] 一直走同样的行程
[23:44] 我害怕我会开始对那个地方
[23:47] 觉得他是一份工作或会拟
[23:49] 那我觉得对我自己
[23:50] 或者是对
[23:51] 因为喜欢我而跟我去的团员来说
[23:53] 都不是好事
[23:54] 对对对
[23:55] 就是我觉得
[23:56] 对我来说做任何事情
[23:57] 热情还是蛮重要的
[23:59] 对对对
[23:59] 所以为了
[24:00] 为了不想要磨灭自己的热情
