[00:00] 旁白：全球算力需求正在快速攀升，你的運算基礎設施準備好了嗎？AMD Helios新世代機架級AI平台強勢登場，整合72顆AMD Instinct MI455X GPU、AMD EPYC Venice CPU，以及開放式網路架構，專為超大規模AI訓練設計。單一機櫃即可提供高達2.9 ExaFLOPS運算效能，與31TB HBM4記憶體，更支援超大型AI模型運行，實現更高密度的運算能力。透過開放標準與Ethernet架構，讓企業擺脫架構限制，打造更具彈性與成本效益的AI基礎建設。AMD Helios，世界級AI機櫃平台，重新定義高效AI基礎設施的新標準。更多資訊，請上網搜尋AMD官方網站。
[01:08] 主持人A：哈囉，歡迎收聽哇塞心理學，我是心理師Nana。
[04:03] 主持人A：我覺得她這次從17歲演到66歲，然後她化妝其實也沒有做什麼特殊的化妝，算是非常的厲害在演技上有很大的突破。她有把從以前很可愛到現在，哇一講話，你就會覺得她有一個傳奇國師的氣勢演出來。那這部戲呢，它在畫面上也把日本昭和時代那種紙醉金迷啊，跟夜生活都有拍出來，我覺得畫面是非常華麗而且流暢。
[04:29] 來賓B：它很多時候是就是兩邊的這個切割，比方說一邊是紅色，一邊是綠色，或者是看著鏡子裡面的自己，很常是左右兩邊的視角，去凸顯這個主角還有裡面的角色內心世界這樣子。
[04:43] 主持人A：所以你可以感覺得到它拍攝的品質是很高的。
[04:46] 來賓B：不過細木數子在這部劇其實還是有被抨擊啦，就是說Netflix在拍這部劇的時候有美化過她。因為Netflix應該是想要借用這個人的人生，去傳達一些跟女性困境相關的議題，還有去探討日本人從二戰之後到後來泡沫經濟之後，整體國民的一些心理的變化。所以其實有點是利用這個細木數子這個人物，來��出那個時代女性跟經濟上的一些狀態。但是其實根據日本過去的一些報導啦，她前半段好像把它演得有一點點太單純了。
[05:20] 主持人A：喔。
[05:21] 來賓B：而且細木數子並不是同一個主關東煮的家庭裡面出來的。據報導她父親以前就是一個政治暴力的介入者。
[05:30] 主持人A：什麼是政治暴力的介入者？
[05:32] 來賓B：我看那個解釋應該是說她那時候有想要影響一些政策。有點像前客那樣，但是是用比較暴力或危險的方式去施壓一些政府官員，支持某個政策或反對某個政策。所以是有一點點遊走在，應該不是有一點點，就遊走在黑道跟白道之間的角色。那她媽媽雖然開的是關東煮店，可是私底下也是有從事這個非法的風化區的工作。那細木數子自己過去，一是在採訪的時候也有透露到就是對旗下的小姐好像有疑似施打冰毒等等狀況。這一些都是在當時的報導裡面，有一些人去抽絲剝繭出來。到底實情是怎麼樣並不清楚，但是聽起來細木數子並不是像劇裡面那麼的單純被動的去採取這一些比較爭議性行為的角色。她其實本身的家庭就可能跟這一些她後來從事的一些行業有所設計。
[06:24] 來賓B：但是我們討論之前要先知道，我們雖然這��角色並不像電視劇中這麼的無辜，但我們可以透過這個半虛構的故事，還是可以了解日本社會跟經濟整體的變化啦。還有每個時代，比方說二戰後，比方說經濟發展時期，日本舉辦奧運那個時候，到最後泡沫經濟，日本當代民眾的一些生活過程跟心理狀態。
[06:46] 主持人A：好，所以這邊我們就要畫爆雷分隔線。如果大家很不想要被爆雷的話，我們就可以選擇去看完作品再來聽，那如果你完全不介意的話，我們就可以繼續聽下去。那當然這部劇最容易讓大家一下子就很吸睛，雖然它算是雙女主角，但是我覺得細木數子這個角色還是很明顯的以她為主啦。她不是傳統意義上那種很勵志，她不善良、不溫暖、也不療癒。很多時候她講話直白到你會覺得她很令人不舒服，甚至是有一點討人厭。可是有些人就會覺得說她到底是，被時代逼出來的，還是她就是一個本來就極度渴望權力的人。
[07:27] 來賓B：我覺得她被時代逼出來，可是應該不是被她後來遇到那些事情，應該從她很小的時候就養成這樣的價值觀啦。一開始有演到說她後面飢餓到要去吃蚯蚓，才有辦法生存，然後慢慢長大。
[07:40] 主持人A：她說她永遠忘不了那一口蚯蚓的味道。
[07:43] 來賓B：對，所以她說她人生的起點是從飢餓開始的啦，所以她才會一直貪心的想要填飽自己內心的那些空洞。就是細木數子其實是信奉我們所謂的一些社會達爾文主義或唯物主義，就是試著生存，不是著淘汰啦。所以她在劇中最後有提到她讀了那個天動說跟地動說，有一些啟發，說你是要當一個被圍繞，周遭的人順著你繞的那個宇宙的中心，還是你要當作被別人奴役的人，然後庸庸碌碌的去為別人賺錢，為別人生活。那她應該是選擇前者啦，就是要當作一個大家的中心。所以她把周圍的人其實都比較當作自我實現的工具。裡面有提到她的親姐姐其實有一陣子辭掉工作，去陪她。
[08:28] 主持人A：幫她開店。
[08:29] 來賓B：賣飯糰。
[08:30] 主持人A：對。
[08:30] 來賓B：但是她要把飯糰店收起來去經營酒店的時候也沒有跟她姐姐討論。
[08:35] 主持人A：也沒有考慮她姐姐會不會失業什麼的。
[08:37] 來賓B：對，覺得說你不是就是個來幫忙的嗎？你也沒有什麼決定權吧。
[08:42] 來賓B：所以後面有提到說她並不相信占卜，因為她覺得這個世界我目前得到的都是我自己做了什麼事情得來的。這個有點優勝劣敗的概念啦，那其實細木數子對周圍的人際關係的想法也是這樣，她沒有太多追求，她覺得贏就是正確的事情。
[08:59] 主持人A：剛剛講到天動說跟地動說。
[09:02] 來賓B：她會說出這句話其實是她在被第一個老闆騙財騙色以後，她竟然自殺。但是她被救回來。
[09:09] 主持人A：對。
[09:09] 來賓B：而且她在被老闆騙之後本來想去報復，後來想說算了。可是算了之前她有講一句話說真的很可悲。
[09:17] 主持人A：嗯。
[09:17] 來賓B：可是我其實後來再看一次，我覺得她並不是在笑那個老闆，她是在笑自己說真的很可悲，竟然會為了別人而被騙。所以她那一刻之後就決定她要當一個主導事情的人，不要再當作去配合別人去創業或去配合別人去努力的人這樣子。
[09:36] 主持人A：對，所以你看她那個醒來以後，她就馬上體悟決定自己要開店當老闆。
[09:42] 主持人A：因為我們如果今天看天動說或地動說，其實我們的醒悟可能不會是這個。
[09:47] 主持人A：所以當我們的注意力或焦點，注意在什麼上面的時候，你很容易去投射自己的內心的想法。
[09:53] 來賓B：投射。
[09:54] 主持人A：然後你連天動說跟地動說你都可以這樣解釋。
[09:58] 來賓B：所以他也有提到，他有提到說會上當不是騙子���錯，而是被騙的人自己活該。所以她反過來去認同傷害她的人。我覺得這也為她在幾十年後，利用占卜這個工作去做直銷或者去販賣一些物品或詐騙別人來說，她也埋下了伏筆啦。那所以如果從這個角度去看細木數子，其實我不太認同裡面那個作家梅乃里最後幫她寫完她的傳記之後說，說她是因為被傷害再去傷害別人。也不認為她是，被男人傷害之後才會變成這個樣子。我覺得這樣子有點看不起細木數子，因為在戲劇裡面女性是可以非常多元的，包括她可以當作一個有一點點像反派的角色。像細木數子就是有一個梟雄類的人物。其實這樣的人物如果換作是男性在很多電影裡面都有，可是在這部裡面我覺得為什麼《地獄占星師》這麼好看或排榜那麼高，有一部分是因為這個角色這樣的設定在過往並不常見啦。所以我覺得她不是因為被男人傷害才被動變成這樣的性格。我覺得她頂多在這些男人身上學會剝削別人的方式，可是她本來就是貪心的人，她其實不斷的就像飢餓一樣，她不斷的想從別人身上獲取東西來填滿自己的不安全感。
[11:13] 來賓B：有些人看《地獄占星師》會說，啊明明那麼精明的人怎麼中間戀愛腦會被那麼多男人騙。
[11:19] 主持人A：啊。
[11:20] 來賓B：比方說被酒店老闆騙、被不動產騙，然後被那個大地主的兒子騙。可是我覺得她並不是因為戀愛腦，她每次被他們吸引，她一開始也看不上大地主的兒子啊。
[11:33] 主持人A：她其實看到的是他們背後的。
[11:35] 來賓B：經濟效益。
[11:36] 主持人A：可能是。
[11:36] 來賓B：她覺得他們身上資源可以供她創業，所以她其實是很想要自己創業的人。那幾段失敗比較像是投資錯股票。
[11:44] 主持人A：就是。
[11:44] 來賓B：就是好像她買錯股票，然後她最後，她的確也有一段婚姻失敗之後她也說就是投資錯了就要認賠殺出。所以她的確是用投資的角度再來看她這幾段關係，只是她身邊出現那幾個男人創業的實力也是不如她，所以她才會一直覺得失望或挫敗。
[12:03] 主持人A：我們常常想要幫一個人他的惡找一個原因，好像只要有創傷，我們就可以解釋很多事情。但是我覺得細木數子她內心有一些匱乏，那個是很小的時候就埋下的，那個飢餓、那個空的感覺，所以她會很想要一直不管是去控制那些財富啊、影響力啊、信徒等等的，都是在對抗自己很深的不安全感，跟她不想要被人家擺佈。你可以感覺到她害怕的不是失���關係，是害怕失去那個主導的權力。
[12:35] 來賓B：她好像沒有那麼害怕失去關係，因為她弟弟跟她沒了關係，她的很多過往的人其實跟她關係也不強。所以我覺她，在裡面其實最後身邊是空無一人的。
[12:47] 主持人A：是。
[12:47] 來賓B：劇中的細木數子她引起觀眾喜愛的原因啊，或敬佩的原因某一部分，她體現了那個年代女性不允許被展現的那種陽性的力量。我們之前有說陽性力量並不是真的指男性，而是指有一些力量，有一些人格的特質或原型，它是比較有創造力、爆發力甚至破壞力的。所以其實那個社會整體，我覺得啦，如果要去細究細木數子她的性格，我覺得部分源於她二戰之後的那些飢餓跟覺得生活要反覆的不安全感。還有她媽媽一直壓制她一些比較積極的特質。她的媽媽其實有講過一些話，她說女人如果表現得太強勢，會留不住女人的幸福，然後就暗示她說最終還是要結婚。但如果性別對調過來，如果今天細木數子是男性的話，她其實根本就不會被這些言論所影響這樣子。
[13:37] 主持人A：就是不會有人跟她說這些話。
[13:39] 來賓B：對。所以我覺得她後來當上占卜師之後，雖然賺錢之餘還是有用她人生的經歷來激勵一些���算命的女性，說你要自主一點啊，你要有決斷能力啊，你要為自己做決定，包容你的企圖心、創造力，甚至偶爾要包容你的一些破壞力。那我覺得跟陽性力量相反的其實就比較像是她媽媽的那個角色啦。還有一直被她壓榨的倒倉那個演歌歌手，她也是被男人騙，然後就算被細木數子壓榨也一直不懂得反抗。但是我們覺得細木數子也有她困頓的地方，就是她後來太積極的要展現自己，一直壓抑內心那些陰性的力量，比方說和解、展現脆弱的那些能力。所以到最後她其實是很孤獨的，最後面臨大殺界的時候，她身邊其實一個人也沒有，因為她電視台那些員工也都恨討厭她，私下都在講她壞話。但是我也不覺得她像梅乃里講的那樣她很內疚啦，她人生並不是以內疚不內疚來衡量，而是以得到或失去來衡量的。
[13:59] [中間省略...]
[29:19] 來賓B：所以你有些時候把這個壓力投射到外界去，也是一種防衛機轉。你會說我已經改運完了，我接下來繼續努力衝應該沒有問題，或許可以幫助你在添一些燃料一陣子啦。
[29:32] 主持人A：那你自己有求神問卜過嗎？
[29:33] 來賓B：我其實有求神問卜過，可是是比較常見的那一種，就是比方說考試前會去廟裡��拜的。
[29:40] 主持人A：就求個拜拜而已這樣子。
[29:42] 主持人A：我自己唯一一次的問事，就是我要考研究所之前，然後那個時候我大學畢業已經有護理師的執照了，可是我一直在想說要不要考臨心所，就有一點猶豫。然後呢，我朋友就帶我到台北很有名的圈圈宮，就是他要卜卦然後再抽籤。那解籤的就跟我說，只要你希望想要努力去做，就會有結果。然後我當下就覺得這有講跟沒有講一樣，我蠻。
[30:05] 來賓B：可是對很多人來說那個會有一個力量好像。
[30:08] 主持人A：對，你就會覺得說好，反正我就給自己一年試試看。所以我覺得很多時候有些人來諮商的時候，也是在這種不確定或迷惘的時刻，他就會問說我該不該離職啊，還是我這段感情要不要繼續啊。就是表面上我們是在找答案，但其實更深層的是你在找一個認可。其實你心裡面可能已經有答案了，或者是你在找一個方向。那我覺得大家也可以試著覺察看看，比如說如果你今天去算塔羅啊，或者是你今天去問事等等的，當對方說出來，比如說你應該離開這份工作，你覺察一下你心裡到底是鬆了一口氣，還是你非常的抗拒。那個情緒反應可能透露出來你真正想要的是什麼。
[30:51] 來賓B：就是它未必是在預測未來，而是幫助我們看見我們內心早就存在那些期待啊、恐懼啊、渴望。
[30:58] 來賓B：我印象中歐美好像有一個研究是說，給它隨機的結果，比方說擲硬幣，然後你看到那個結果的當下那個第一個情緒反應，可以佐證說你其實比較想要哪一個結果。
[31:11] 主持人A：喔。
[31:11] 來賓B：所以其實我覺得這有一部分也是跟占卜有一點點像，不管是正面還是反面，跟你期待一不一樣，它某一部分刺激了你的內心去思考某一些事情。
[31:22] 主持人A：所以就像博弈剛剛說的，當一個人願意開始看見自己的時候，我覺得那改變往往就已經發生了。只是說占卜提供了一個機會或媒材讓你有機會往內看，它就像鏡子一樣。
[31:35] 來賓B：有些東西沒有辦法改變，所以占卜我們還會討論另外一個它的功能，我覺得有一部分就是叫和解。這邊要引用我們國師啦。
[31:43] 主持人A：國師唐老師。
[31:44] 來賓B：對，我之前看唐綺陽老師上Podcast接受採訪的時候，面對那時候會提一些問題去問他說你怎麼面對生活中各種狀況。比方說如果有一群人來跟你說他就是不相信占卜，或不相信算命，你怎麼看待。我覺得那時候講了一個沒有辦法反駁的話，他說他希望這些人可以繼續保留這種不相信。他某方面來說他們也是命夠好才能夠不相信。我覺得這句話不是挑釁，我覺得有一些人可能年紀比較輕，比方說剛出社會不一定可以理解這句話。我們可能在以前覺得我只要努力就會有成果，可是你隨著經驗越多，你會發現周遭很多，尤其是一些無常的啦，比方說生老病死，有一些感情的，愛恨糾葛，很多東西不是你靠你努力才有的。那這個時候我們就會對這個世界非常的困惑，那有時候我覺得占卜是提供我們和解的一個功能。就撇開宇宙的力量來說，我覺得占卜是一個跟內心對話的工具。比方說很多諮商師啊或輔導人員跟青少年做諮商或會談的時候也會用塔羅牌啊，或天使牌或用夢境來建立關係。其實有一部分是因為占卜出來那個卡片，它裡面可能會投射一些你內在的原型，或潛意識。那甚至有一些巧合，會引誘你講出更多你自己的故事。因為榮格有一個東西叫做共時性，他會覺得生活中很多巧合，比方說他說他有做過一個個案聊到金龜子，然後窗外就飛來一隻金龜子，然後那個個案就覺得他好像是可以做改變的時刻了，諸如此類的案例。那其實我們的內心會捕捉一些有意義���巧合，並不是巧合本身有意義，而是你看到它之後心裡產生觸動，代表你內心某一個東西被喚醒了，那那個東西可能是你壓抑已久，或者是不願意去面對，或者是不敢去面對的。所以我覺得占卜可以讓我們稍微分擔掉一點，就讓我們接受這就是自然界某種規律的一部分。我們可以不用承擔這部分的責任，可以跟自己稍微和解一點點。
[33:42] 主持人A：我們今天講到的這一些呢，我覺得它讓我們看見當人活得越痛苦越迷惘的時候，其實我們很希望有人可以告訴我們該怎麼辦。
[33:50] 來賓B：細木數子應該是一個反面教材啦，她在人最脆弱的時候教她去買一些高昂的墓碑，來改家裡的風水。這個是相對來說很惡劣的行為啦。不過某個角度上來說它也反映了那個年代大家共同的焦慮。
[34:06] 主持人A：對，所以我覺得大家看這出去也可以提醒自己，老實說我現在有時候看到星座我也會看一下星座運勢這禮拜怎麼樣，我也不會特別覺得一定要照著它過我的生活，但是可能有些時候它真的會有一些提醒。
[34:20] 來賓B：比方說它說最近可能容易跟伴侶吵架什麼等等的。
[34:24] 主持人A：對，我就是。
[34:24] 來賓B：或者是你最近在工作上可能太衝了��要稍微注意一下。
[34:29] 主持人A：休息一下之類的。
[34:31] 來賓B：但我覺得啊如果無關的人你就是看過去就好，可是有關的人如果你不過度啦，不要依靠著占卜來生活。
[34:39] 主持人A：有時候我們真正想要預測的可能也不是未來，而是希望有人可以告訴自己現在受的苦到底有沒有意義。不過如果有一天我們能接受人生本來就有不確定，可能就可以比較不需要把命運交給別人，而是把那個注意力放回到自己的身上。也希望你喜歡今天的內容，如果有什麼事我們可以聊的劇就歡迎大家到IG或臉書來許願。那哇塞心理學就到這邊囉，拜拜。
[35:04] 來賓B：拜拜。
