[00:00] 主持人：歡迎來到好聲音。
[07:00] 主持人：對，如果今天你把它設限說，啊今天不管賣多少，就只賺這麼多，他會有兩種情況，你知道嗎？第一個是這麼多，我不要，那我就不需要那麼認真賣。那第二個呢是，我只有賺那麼多的話，那我只賣那麼多就好了，我幹嘛拼命去賣。所以我們常講說，有的時候就是系統這件事情可能被別人忽略掉，就是系統其實遊戲規則。
[07:22] 來賓：沒錯，遊戲規則。
[07:23] 主持人：你規則如果對了，那坦白講，這個就有機會達到你想要的目標。我記得那時候聽萬維剛老師講一段話我非常喜歡，他說凡夫畏果，菩薩畏因，佛畏系統。
[07:35] 來賓：對，好，講得很好，講得很好。
[07:37] 主持人：你一旦把系統建立起來的時候，別人拼不過你，你知道嗎？大家聽一下剛才這個老師在說，MJ老師在說的，就是如果今天你要把人留住的話，你不是用什麼感情這個勸慰啊，幹什麼，你總是他能夠養家嘛。
[07:51] 來賓：對，他有基本的生活需求。
[07:53] 主持人：他有生活需��嘛，那你要希望他把這件事情能夠做得比別人來得更好的話，你要找到讓他可以無上限去努力的動力嘛。所以你看光這樣兩個，我想大家可能在腦袋裡面。
[08:02] 來賓：還有更多，你看，因為獎金給了那麼多，那後勤會生氣啊。
[08:07] 主持人：對。
[08:08] 來賓：所以我們還有一個團隊獎金。
[08:10] 主持人：啊。
[08:11] 來賓：所以團隊獎金怎麼給的？又要給公平，所以我們每一個人都可以打主管360度考評。有個人的，有公，有個人的跟團體的。那誰自私自利都看得出來。誰都幫別人，那好人不做自己的事，也看得出來。那大家給的分數都很公允，所以我們就會給一個團隊獎金。就每，就是業務的獎金有一部分撥出來給團隊獎金，那大家就雨露均霑，會幫助業務成功，那自己也有獎金，然後給的分數也很公允。所以就，就這樣子。
[08:42] 主持人：對。
[08:43] 來賓：然後第三個就是我們也達到一個系統，讓大家能夠願意一直做。
[08:46] 主持人：對，一直做。
[08:47] 來賓：因為我們非常喜歡羅胖講的做時間的朋友。
[08:50] 主持人：對，做時間的朋友。
[08:50] 來賓：所以你工作了三五年，那你想買房，差了這兩三百萬，我就按照你的薪水���會給一個方案給你，你就可以無息免費跟我借錢。
[09:00] 主持人：怎麼做？
[09:00] 來賓：而且有借錢五年要還。那你離職的時候，請你立刻馬上當下還。
[09:04] 主持人：對。
[09:05] 來賓：對啊，因為我本來就沒有，你哪裡利息，我幫你圓夢嘛。我的概念是我幫我的夥伴圓夢，夥伴就會幫我們公司圓夢，就這樣。他就打造一個系統，一個飛輪，一起長大。
[09:17] 主持人：呀。
[09:17] 主持人：你不只照顧他這個人。
[09:19] 來賓：對。
[09:20] 主持人：你也照顧他這個家，因為他基本上是家嘛。那當然，因為你照顧他，所以他呢，除非基本上是白眼狼，要不然坦白講的話，他也應該知道回報。
[09:30] 來賓：對。
[09:31] 主持人：因為他願意待在這個地方。
[09:32] 來賓：我們就盡量做能做，會不會回報那就算了。
[09:34] 主持人：對啊，所以回報的話也是為他好嘛，如果他今天把公司給搞不好的話，對他沒有什麼好處嘛。所以他其實是在這個大樹底下呢，大家彼此又回到老師上一集特別講的共好。
[09:45] 來賓：對。
[09:46] 主持人：就是每次你在做生意的時候，不能只想著自己好。
[09:48] 來賓：是，沒錯。
[09:49] 主持人：你想要對的客戶好���這是必須的。你還要想到對這個公司好，它才能夠一直好下去。老師一直強調一直這件事情。
[09:55] 來賓：對，一直。
[09:57] 主持人：因為才能夠越做越順手。
[10:00] 來賓：對。
[10:01] 來賓：像我常常就搞不清楚現在業務在幹嘛，比如說我們買西裝好了，買一件假設三萬塊，那你覺得不錯，你買了三套，順便幫兒子買了多少？一套，總共四套12萬。
[10:12] 主持人：對。
[10:12] 來賓：然後我就問說，這有沒有折扣？業務怎麼說，沒有，我們這不二價。我就想說，我還是買了啦，但我說我就跟我兒子講，我以後絕對不會來這種事。你隨便送個領帶都可以，就是一種。
[10:22] 主持人：對。
[10:24] 來賓：就做到後面，你就會發現到消費者除了理性，買房也是一樣，除了理性，還有感性的東西。
[10:32] 主持人：而且我覺得有時候感性更多。
[10:33] 來賓：對。
[10:34] 主持人：就是那個風值體驗，就最後你臨走的時候多送你一個，而且再多送你一個，那種感覺，就像我去每次上老師的課的時候，為什麼這麼喜歡？都沒想到會突然有一個黃金甲送到我嘴巴旁邊。
[10:45] 來賓：對。
[10:45] 主持人：那種感覺不是說貴不貴的問題。
[10:47] 來賓：而���我們是真的有用心喔。
[10:49] 主持人：是啊。
[10:50] 來賓：而且我們還把每一個幹嘛？每一個講師上面都有刻一個鐵。
[10:52] 主持人：對啊。
[10:53] 來賓：專屬的鐵盒。
[10:54] 主持人：真是的。
[10:55] 來賓：都被你心都買走了。
[10:57] 主持人：但這件事情很重要，因為某種程度上這種關係的建立，絕對不是你口才好就能夠建立起來，別人看得到，你知道嗎？對不對？所以對客戶而言的話，我那種就是理性上面幫他解決問題，創造價值，但感性這方面不可少。這也是一個非常重要的系統。
[11:14] 來賓：好，那我舉一個真實的例子，幾年前我的剛從台北加入我們桃園隊的夥伴，很沒信心。我就叫他當客服。那他就很沒信心，就超級沒信心，就感覺有被人家在職場上霸凌過。
[11:28] 主持人：霸凌過。
[11:28] 來賓：我說你來我這邊很簡單，你就打電話關心客戶。我唯一的要求是不能賣東西給客戶，你賣東西我就開除你。他真的嗎？就開始就變開朗，因為不用賣東西。
[11:35] 主持人：沒有壓力。
[11:39] 來賓：對，他就這樣，就跟客戶聊天，吃的產品怎麼樣，家庭生活怎麼樣，小朋友教育怎麼樣，就這樣，好。那有一天就他突然發現，後��發現有一個客戶買了六萬多的的產品。然後但是明天我們就要做周年慶，周年慶是我們唯一一年一次打八三折。他就問我說怎麼辦？老闆。因為我們多收人家的錢，雖然是他收，我們是正常正確的，可是明天才24小時就折扣了。
[12:03] 主持人：就折扣了。
[12:04] 來賓：我說你覺得該怎麼辦？我們有一個文化DNA嘛，我就教他們要堅持做政治事，我就問他你覺得怎麼辦？他說應該退錢，說好，你就退費。但做幾個動作，先退錢再打電話。所以這六萬退了13，20，13，17%就是一萬多。他退完錢才說，你好，我是巨越黃金甲的客服誰誰誰，我剛才退了一筆錢給你。他說為什麼退我錢？因為我們明天就要做活動，那因為你不知道，但我們覺得不應該，所以我們退錢給你。
[12:32] 主持人：好感動喔。
[12:33] 來賓：就隔天呢，那個人是從花蓮來，我真的很感恩他，那他隔天花了十幾萬，又買我們產品，他說怎麼會有公司這樣子真誠對待。所以我們全公司就自己打造這一個系統。所以到現在才會有一定的銷售成績就這樣。所以你的共好，對方都知道。嗯，所以他有感性的部分。
[12:53] 主持人：老師你剛一不小心透露一個東西，就是說你們公司有個什麼DNA是不是？
[12:56] 來賓：對對，文化DNA。
[12:58] 主持人：文化DNA，能不能跟大家簡單透露一下這個怎麼出來的，好不好？因為我覺得這件事情其實蠻重要，因為你前面講A是K嘛。我覺得你非常在乎attitude這件事情，而這個attitude不是個人的attitude，是個公司的attitude，因為公司某種程度是法人嘛，跟大家聊聊這個文化DNA。
[13:14] 來賓：好，因為我一直覺得技能不是那麼重要，我本來就不是名科出生的。可是我在職場上帶了多少博士。然後出來教書說教了多少名校的教授。
[13:25] 主持人：呀。
[13:26] 來賓：所以我覺得能力不重要，你可以學就好，重點是那個態度。所以我很重視那個態度，所以我覺得你只要態度對，我都願意給你一年、兩年、三年時間慢慢學，只要你一直持續，所以我們就會有一個文化DNA。那文化DNA比較特別就是我自己的語錄，就七個而已。那我們每一次開會呢就花一分鐘念。那一分鐘念就是一，堅持做政治事，二，提供客戶更多的體驗。第三個呢，那永遠多想兩步。第四個幹嘛幹嘛就這樣講。就是誠實，真誠之類是這樣，就是簡單的講這幾個。然後這樣講的過程中，有什麼特色呢？就第一個呢，我們只花一分鐘不到就講完了，然後就開始開會。那不認同的人就會搖頭，我就知道他要離開了。
[14:12] 主持人：懂。
[14:13] 來賓：那你不認同搖頭又會再，那我就會覺得你可能就是系統的破壞者，因為你不認同嘛，那你又想要留下來，就你都不吃素，你還想要成佛，我就覺得你很怪啊。
[14:24] 主持人：沒錯。
[14:24] 來賓：就類似這樣。
[14:25] 主持人：對。
[14:26] 來賓：所以就等於說，這個也是跟宗教學來，就像不管什麼宗教都會念聖經、佛經啊，金剛經，每個。
[14:33] 主持人：它是一個信仰，要相信。
[14:34] 來賓：要相信，你不能不相信。
[14:35] 主持人：對。
[14:36] 來賓：所以人家說有三種力量很重要，第一個是愛嘛，第二個是信仰，第三個是希望。
[14:41] 主持人：沒錯。
[14:42] 來賓：所以我們在還系統設計上，就這樣團隊看到希望。那我的我，我們自己對他們就像家人就是愛，那還有一個就是制度，那他有信仰，就是這個文化DNA。
[14:53] 主持人：呀。
[14:53] 來賓：這是我個人的一些看法，也沒有對錯。那有些人覺得哇，這個是很八股，我覺得我就是這樣。
[15:00] 主持人：所以老師你講這一段，跟我之前在大陸的時候，我們有一段時間，其中有一個���主管，他寫在他這個算是微信頭像上面一段話很類似，他說他自己提醒自己的，他不是自己多優秀，只是自己的圈子弱。
[15:17] 來賓：好，對。
[15:18] 主持人：他說你維度不到的時候，你要跟那些維度更高的去學習。
[15:23] 來賓：是。
[15:23] 主持人：但如果你就是自滿於現在自己的圈子，某種程度上你就不可能再往上，就回到你前面講的態度嘛。其實態度某種程度上你相信什麼你才會成為什麼。
[15:33] 來賓：對。
[15:34] 主持人：所以這件事情某種上面，以前我們不是常常小時候就國父三民主義嘛，思想就信仰就力量嘛，其實本質上它不是宗教而已。
[15:41] 來賓：以前不相信，可是你學這個年紀越來越大，你真的很相信。
[15:44] 主持人：因為水志同道合，它本來就是因為你相信才會志同嘛。
[15:48] 來賓：我舉例好，我在大學的時候就練簽名了，就現在我的簽名，就寫得很漂亮。我女朋友還有我同學問我說，你你你在幹嘛？
[15:56] 主持人：對。
[15:57] 來賓：我在幹嘛？我說沒有，我在練習簽名，因為我以後會成為。
[16:00] 主持人：會常簽名。
[16:01] 來賓：對。
[16:02] 來賓：相信。就因為相信，所以就會實現了，你看。
[16:05] 主��人：真的。
[16:06] 來賓：當時我沒有很篤定，你看。
[16:07] 主持人：所以我，我覺得。
[16:08] 來賓：那中間當然遇到很多坎，我破產兩次嘛，但因為我相信我爬得起來。那就是因為之前做過了那個上百億訂單，我就想，這才多少錢，我就撐不住，那我之前那一定是運氣好，那我怎麼對得起，對得起上一次，上一代的我呢？我是新一代的我，跌倒了怎麼爬，怎麼可以爬不起來，你看我就爬起來了。
[16:28] 主持人：對。
[16:28] 來賓：那過程中很痛苦啊。
[16:30] 主持人：但是相信這很重要，就跟那個，你這段話跟我非常喜歡納瓦爾寶典，納瓦爾講的是一樣，他說你就算讓我破產，就算讓我基本上生無分文，只要再把我丟到其他地方，我都相信以我擁有的東西，我可以再爬起來。
[16:43] 來賓：是，我也跟我兒子這樣講，我在全球任何地方都能夠活得很好。
[16:47] 主持人：對。
[16:47] 主持人：這件事情很重要。
[16:48] 來賓：因為我有業務能力。
[16:49] 主持人：這件事情很重要，你至少要對自己有足夠的信任。
[16:52] 來賓：對對對。
[16:53] 主持人：要不然你就沒有辦法帶領其他人啊。
[16:55] 來賓：而且所有人都應該對自己超級有信心，為���麼？我舉幾個例子，第一個，你剛出生的時候會走路嗎？
[17:00] 主持人：不會。
[17:01] 來賓：不會啊，結果你會站了，你會走，你會跑。現在還還會躺平呢。
[17:07] 主持人：沒錯。
[17:07] 來賓：所以你看，以前也沒有學過，你以前也沒學過，也沒有學過那個發音，可是你從小到大，時間到你就會講媽媽，爸爸，我要吃飯飯，你看。到後面會頂嘴。
[17:17] 主持人：對。
[17:18] 來賓：不像話。
[17:18] 主持人：都是學習來的。
[17:20] 來賓：其實這個也是業務。
[17:21] 主持人：所以，對啊，對啊，這個業務啊，你很學。
[17:23] 來賓：你把自己賣出去啊。
[17:24] 主持人：對啊，對啊。對不對？所以回過頭來，只要相信你真的能做到你想要的。
[17:26] 來賓：對。
[17:29] 主持人：真的。
[17:30] 來賓：但你說從20樓跳下去，不說，這很難，違反物理，違反科學就不。
[17:32] 主持人：對。
[17:34] 來賓：除非這個在降落傘嘛。
[17:35] 主持人：對。
[17:37] 主持人：所以回過頭來，系統很重要，它可複製。那老師也特別提到了，其實剛才戴哥老師也回答到了，就是除了公司要有系統之外，人才也要系統。那老師剛不自覺就透露一下，其實文化DNA某種程度上，它就是一種就是把顯意識變成潛意識一個非常重要的關鍵。所以老師我們再多說一點，你怎麼去看待，所謂超級業務，我們當然希望每一個人，不是說他一定要都變成所謂的super sales。但是如果每一個業務都能夠帶來所謂的客戶價值，然後幫公司也創造價值的話，他自己才會持續不斷的成長，也讓公司能夠成長。你怎麼去看待打造一個所謂的人才系統這件事情，跟我們聊聊好不好？
[18:18] 來賓：那其實我們最，最大系統最主要是教你飛輪，教你不是只有一招半式，銷售技能的提升，而是創造系統。因為只有在系統裡面叫work on the system，你才能指揮三軍，越做越輕鬆。你如果是work in the system，你就會成為超級業務，你扛最大那責任，你其實很累。你能不能調動周邊所有的資源，都成為你的小幫手。那這也是一種業務啊。所以我們就希望你打造成這樣的系統。那人才的部分我們比較特別，講到人才，我自己的方法論就是原自於傑克威爾許的奇異人才九宮格。
[18:52] 主持人：奇異人才九宮格。
[18:52] 來賓：對。
[18:52] 來賓：那我把奇異人才九宮格做了一些更大的變化，就是第一個我會先讓他知，讓他告訴我你想要什麼風格。
[19:02] 主持人：對。
[19:03] 來賓：指導性的，獨裁的，還是自由的，還是幹嘛，都可以，你喜歡被什麼樣的人領導。
[19:09] 主持人：是才事說，先了解他。
[19:10] 來賓：你喜歡什麼樣的領導，盡量meet你。那接下來就是人才九宮格，我先讓你自填。
[19:17] 主持人：啊。
[19:18] 來賓：你填到那個位置，就是你人才的地圖，就是你職業地圖，好，那我們會把過去半年或一年同事給你的評分，跟我對你的觀察，跟你講其實你不在這裡，你是在左下角，天弱的。那為什麼是這樣？我從理性感性講給你聽，有很多具體的事情。那你認同，OK，那就是雙方就簽名，他就知道他在那個點。那接下來我就告訴你，這個是你人才地圖，左下角是最差，右上角是最強。縱軸呢是你的思維態度，橫軸就是你技能。所以你，要嘛就是45度往右上，就是既有思維提升，能力提升，那當然很棒。可是你如果不行，那你現在太弱，我就你先走橫向的，你不要管那個思維，你就先把技能多做多做多做幾次，就可以了。那如果程度不錯，我就叫你往上面，所以你就有很很多路可以走，那你就可以知道自己狀況。那他不是說需要多一點指導嗎？那開始接下來半年我就叫他，這個要這樣，他有一天他就講說，老闆，你可不可以不要講那麼多，停。六個月前你跟我講要多指導，翻給你看，你簽名啊，我簽名，這不是多指導嗎？就你現在freestyle，你是來亂的嗎？你從頭到尾都是亂寫，你看，我就跟他講，你我現在就訓練你們還沒有當主管之前，你先體驗主管的尷尬。你老是覺得主管不公平，不公道，你看，你自己寫這樣，我就照你所講的這樣，多給你指導，你嫌我煩。你會發現到你講的話六個月後你忘記了。
[20:45] 主持人：沒錯。
[20:45] 來賓：所以為什麼我們需要把你們對談的東西都留下來，而且每次我們在做績效考核的時候，我把上一份也給你看，你就看到你上一份的位置。
[20:55] 主持人：對。
[20:55] 來賓：你就知道你是往上還是往，往右，還是往右上。
[20:58] 主持人：你可以修正，可以反饋。
[21:00] 來賓：因為左下你，就代表你可能就是，我可能不喜歡你，你就糟糕了。
[21:04] 主持人：呀。
[21:05] 來賓：公司不喜歡你，對。所以他們每個人都知道自己位置。所以因為我希望讓他們知道自己位置，你才能夠知人善用。
[21:13] 主持人：對。
[21:13] 來賓：最糟糕的是，我以前也是這樣，我以前覺得自己是top sales，可是可能公司看我只是中間份子，對啊有可能啊。
[21:20] 主持人：對。
[21:21] 來賓：那我就會做over expect，我就會以為會怎樣怎樣，所以我過度期待，那最後呢，我就會。
[21:29] 主持人：過度失望。
[21:30] 來賓：過度失望，我就離開，我覺得這樣就損失一個人材，這樣可惜。
[21:33] 主持人：沒錯。
[21:34] 來賓：所以我就寧可花一點時間對齊。
[21:37] 主持人：對焦，對齊。
[21:38] 來賓：對齊。第一個我在面談的時候就對齊你的夢想嘛，我才談公司的夢想。應該沒有人會這樣，我再聊你個人夢想，你什麼時候跟主管聊過，主管跟你聊過個人夢想。因為我們以前就是沒被人家看到。
[21:50] 主持人：沒錯。
[21:51] 來賓：所以我們就把我們經歷過這種跟他分享。那接下來呢，對齊你的能力，然後再對齊公司未來要走的方向。這三種對齊，那就可以，大家都可以走得很遠，所以我們的員工流動率都還蠻低的。
[22:03] 主持人：對。
[22:04] 主持人：其實因為我自己。
[22:04] 來賓：而且他很相信你。
[22:05] 主持人：對，而且我自己基本上跟MJ老師的團隊合作過，我可以感受到那種相信力。那種相信力某種程度上，就是對自己的期望能夠叫做適當。
[22:15] 來賓：適當，對。
[22:16] 主持人：我覺得適當。
[22:17] 來賓：Proper。
[22:17] 主持人：Proper，然後在這個適當的過程當中，你也知道你想要往哪裡去。所以你就會適當的在自己態度上面跟能力上面往那個地方去走，但還是要跟財務要反饋。
[22:27] 來賓：對，沒錯。
[22:28] 主持人：我覺得這件事情很重要。其實大家聽完之後有沒有這種感覺，就是我們在銷售或者是提供業務能力的過程當中，其實自己本身也是一個業務。
[22:36] 來賓：嗯。
[22:37] 主持人：我說自己的人啊，跟這個就是個產品啊。那有的時候你自己覺得自己在公司內部呢是一個好產品，但不見得是真的好產品。
[22:45] 來賓：沒錯。
[22:46] 主持人：所以你當你對自己能夠叫做自己知彼的時候，你才能夠知道把自己放在什麼位置上面，才能夠提供更好的產品服務給你真正想要的，這個不管是公司也好啦，或者是消費者也好啦，所以大家可以理解，這個這堂所謂超級業務力，它純粹不是說只是賣東西這樣一些skill跟knowledge而已。
[22:58] 來賓：沒錯。
[23:05] 主持人：它需要態度，像MJ老師剛剛講的，當然裡面有非常多的工具。那最後我想請教老師，因為畢竟一堂課，真正的���鍵從來不是學完就好了，是要拿來用的。你會建議大家怎麼就是把這個超級業務力，在好哥我再多貪心一點，再把超級這個數字力，帶進來的過程當中，怎麼去運用這個超級業務力，在這上這堂線上課程過程當中。
[23:30] 來賓：哇，好哥真的很用心喔，在關懷客戶。那這一點我也特別跟知識衛星的合作夥伴討論，所以我們每一個章節結束都有一個homework。
[23:39] 主持人：呀。
[23:40] 來賓：那我告訴你，剛才不是說問答戰嗎？那到底怎麼做問答戰？我就請你寫出業務20問，叫業問。
[23:46] 主持人：業問。
[23:47] 來賓：業問20問。
[23:48] 主持人：20問。
[23:48] 來賓：你要怎麼問那20個問題？那20個會多嗎？那是不是改成業問，業務六問或五問，就每一個業務出去都要帶回這個。所以我常常跟，因為業務是一種推進。
[23:59] 主持人：對。
[24:00] 來賓：業務是人與人之間的相處，只要對方不討厭你，你就成功了。
[24:04] 主持人：沒錯。
[24:04] 來賓：你就下一步推進，這樣就可以了，因為不可能莫名其妙就成交了嘛。
[24:08] 主持人：對。
[24:09] ���賓：它需要一個時間。所以你帶不回訂單，就帶回問題。那為什麼帶回問題？我下一次就改善的方向嘛，就這樣。所以我們每一個階段都有一個homework。那這homework可能有十多個，做完之後呢，你就可以透過飛輪把它展開，變成你的產業銷售地圖。
[24:29] 主持人：呀。
[24:29] 來賓：那這套地圖呢，就是一套系統。你個人運用就可以成為超級業務，你給團隊運用，這成為一個銷售團隊。
[24:38] 主持人：對。
[24:38] 來賓：那你給老闆運用，它就變成一個全員銷售。
[24:42] 主持人：沒錯。
[24:43] 主持人：所以老師特別強調，建構一個所謂人才系統真正的目的，就不會是讓自己非常辛苦的單打獨鬥。
[24:49] 來賓：對。
[24:50] 主持人：不要看待別人是1億歐元，自己在那邊1億台幣，還沾沾自喜。我們不是說1億台幣不好，真正的關鍵是要借力使力。因為一個人好呢，坦白講，你沒有辦法就是共同享受那種就是共同的喜悅。所以畢竟公司是公司嘛，你當然如果做一個freelancer的話，當然沒問題。但你也希望就算做freelancer跟別人協作的話，也要大家都因為你的好，才會願意跟你長長久久的共好嘛。
[25:16] 來賓：是。
[25:16] 主持人：所以我覺得���堂超級業務力，其實真正關鍵不是說你不賣產品，不賣這個服務就不來學的。
[25:24] 來賓：就其實一樣，我昨天才po文。
[25:26] 主持人：對。
[25:27] 來賓：我昨天FB po文說，不小心又幫。
[25:29] 主持人：賣房子。
