[00:00] 主持人：歡迎來到好聲音。
[05:02] 主持人：所以我能不能稍微就是再簡化一點，這個小白的角色去看，就是廣告設計比較趨向於2D的平面設計。
[05:09] 來賓：可以這麼說，對。
[05:10] 主持人：然���這個空間設計的話就比較是屬於3D的了嘛。
[05:14] 來賓：對。
[05:15] 主持人：啊，OKOK。所以那個時候從廣告設計到空間設計，其實你簡單講的話就是2D跟3D你都有涉獵就對了。
[05:23] 來賓：對，沒錯。
[05:24] 主持人：OK，那你有想過就是這件事情將來會變成你的工作是什麼模樣的樣貌過嗎？
[05:31] 來賓：導師有欸，其實我在高中要選室內設計的時候，我那個時候就想說我之後一定要當一個室內設計師。
[05:41] 主持人：通常我聽到這種話都覺得好幸福喔，因為能夠早點知道自己的志向啊，跟喜歡啊，跟擅長啊，是很重要的。那這邊好哥再多挖一點好不好？因為很多人都說哎呀，找到自己的喜歡很重要。但最近啦，我看到好幾本書就說做自己喜歡的事情不擅長也很痛苦。做自己擅長的事情不喜歡也很痛苦。那那個時候你喜歡是一回事，但是你自己覺得這件事情如果以擅長這兩個角度來看的話，你是擅長做這件事情的嗎？
[06:17] 來賓：嗯，我覺得要分。
[06:20] 主持人：要分，要分不同的領域是不是？
[06:22] 來賓：對，因為像比如說我現在室內設計走到現在啊，如果以設計師的這個領域來說的話，我是擅長並且也喜歡的。但是如果它分旁��到其他的的部分的來說的話，我是喜歡但maybe現在沒有那麼擅長。
[06:42] 主持人：懂，但是你做著做著某種程度上面，你可以找到自己喜歡又擅長的賽道，但不用跟所有人都基本上就是能夠分庭抗禮嘛。
[06:51] 來賓：對，沒錯。
[06:52] 主持人：那我們回過頭來，還是回到就是從學生時代到職場，我覺得那還是一個跳躍，因為畢竟學生時代的話就是學嘛，然後付學費嘛，然後一路往下走嘛。可走的過程當中呢，當要進入職場的時候，那就是要養活自己了。
[07:06] 來賓：對。
[07:07] 主持人：那養活自己的話，你就不能說純粹只是喜歡而已了，你還要把自己價值不斷提升嘛。後來在這個職場上面的話，這可以跟大家聊一下，就是包含從學校到跳到找工作這一段，有沒有一些就是心路歷程跟大家做分享？
[07:25] 來賓：喔，因為因為我我那時候的大學，其實蠻鼓勵我們做一件事情，就是在大大三跟大四的時候去業界做一點交流。
[07:34] 主持人：喔，真的啊，有這麼好的一種交流在學生時代就可以做交流。
[07:38] 來賓：欸，對。
[07:39] 主持人：是是學校鼓勵的嗎？
[07:40] 來賓：對，學校鼓勵的。然後他鼓勵我們在大三大四的暑假的時候，去做一個比較長期的跟業界，比如說去找業界的老師，有做打工啊，或者是一些練習。
[07:53] 主持人：就類似以前我們想像那種建教合作，只是它不是一個大範圍的公司，是跟著老師走是不是？
[07:59] 來賓：老師應該是提倡這件事情啦，那但是至於怎麼找要靠自己。
[08:04] 主持人：就自己去找，跟投履歷是一樣，只是在。
[08:06] 來賓：跟投履歷是一樣。
[08:07] 主持人：等於是在大三大四就開始跟社會做接觸，做接軌了。
[08:12] 來賓：對，我們老師其實蠻鼓勵這件事情的。那所以我們在學期間有相對的被鼓勵到，那有鼓勵到，所以就去做這件事情了。所以我在從大四畢業到工作的這一段期間，我就蠻清楚的說我要跟業界怎麼樣做銜接了，至少那第一步我不會害怕，因為我大三已經做過了。
[08:35] 主持人：所以你大三那時候找工作也都自個去。
[08:37] 來賓：對。
[08:38] 主持人：找的嗎？
[08:38] 來賓：我我我都是自個去找的。
[08:40] 主持人：你第一個工作是做什麼？
[08:41] 來賓：我大三那時候找工作很妙欸，我大三那時候找工作是，我問別人說有沒有這個機會，然後讓我可以去學習，那費用怎麼樣其實我都不在乎。
[08:55] 主持人：不在乎。
[08:55] 來賓：對。
[08:56] 主持人：先求經驗跟實力。
[08:58] 來賓：對，先求經驗跟實力。然後我那時候跟了一個很有趣的設計師，他本身是法國人，然後他來台灣做室內設計。
[09:07] 主持人：會會會講中文嗎？
[09:09] 來賓：他會講中文，但他中文很很法文。
[09:12] 主持人：中文很法文。
[09:13] 來賓：對，他中文很法文。所以我跟他溝通的時候，基本上用很簡單的字句溝通，然後他會交代我做一些事情，那我就跟著他，然後一起學去看現場，然後學怎麼樣畫室內設計的圖。
[09:31] 主持人：你怎麼找到這個就是跟這個法國的設計師的工作？是透過別人介紹嗎？還是老師介紹？怎麼樣的一個管道去建立這樣的關係的？
[09:41] 來賓：其實透過別人介紹啦，那因為別人有有在其他的案場有跟這個設計師配合到，所以配合到之後他就就幫我問那個設計師，那設計師說也也也就好，他也答應我。因為他可能是外國人嘛，所以他會覺得說如果年輕的學子他想要來做進一步的學習的話，那那個場域他很開放給年輕的一輩，然後過來學習這樣。
[10:10] 主持人：呀，所以後來呢，有這樣的一個學習經驗，讓你從學校跨入到職場的時候，講白了就不會怕了，因為知道有這樣的一個叫做食物的歷練嘛。
[10:22] 來賓：對。
[10:22] 主持人：但那個時候你已經就是決定了，就是從國中到高中開始建立了這個夢想，要成為設計師。
[10:29] 來賓：嗯。
[10:30] 主持人：就是定下來都沒有變過。
[10:31] 來賓：有，我我我中間當然有。
[10:34] 主持人：來聊聊聊聊聊聊這些轉折。
[10:36] 來賓：比較亂的那個過程。
[10:38] 主持人：我們就要聽聽亂的過程。
[10:41] 來賓：因為其實一開始踏室內設計，你會覺得喔，室內設計就是室內設計。但你不會知道室內設計其實分很多種。那像基本上所有室內設計的類型我都踩過了。比如說像我一開始大四畢業之後去就就職的類型，就是商業舞台類型。
[10:00] 主持人：[中間省略...]
[20:00] 主持人：非常長期的跟非常短期的這個中間的地帶，因為它一個非常重要的關鍵是商業利益的衡量。
[20:07] 來賓：對。
[20:08] 主持人：對不對？所以其實很多的時候，你走著走著呢，你就發現原來人生當中這麼多不同的選擇，就算是設計，我們今天聽到Kiki講的話，也有基本上非常多元的這個樣貌。
[20:19] 來賓：對對對。
[20:20] 主持人：對不對？所以下一集啊，好哥想再請這個Kiki跟我們分享另外一個不一樣的主題，就走讀。其實我覺得跟他自己在人生當中走過這一連串不同的設計有非常大的一曲同工之妙。因為人生的坦白講，讀萬卷書行萬里路閱人無數，本來就是當你知道你些不知道的東西的時候，你才擁有更多的選擇權嘛。所以回過頭來，就算是Kiki在很很小的時候就知道要做空間設計，這樣就算是這個空間設計這麼大的一個主題裡面還是有各種不同的分門別類。我們有聽到了飯店設計這件事情。所以我們這個下一集呢再好好聊聊，到底走讀這兩個字呢，在Kiki的生命當中，它是扮演什麼樣的角色？是什麼樣意義？又是什麼樣的起心動念呢？會讓Kiki在這麼一個非常有趣又多元的設計領域裡面，會跨越到這個生命當中的另一個月章，好不好？OK，謝謝這個Kiki，我們下一集繼續聊。
[21:17] 來賓：謝謝，謝謝好哥。
[21:18] 主持人：掰掰。好聲音，我們下一集再見。
