[00:00] 小时候总认为幸福是一味的甜
[03:25] 然后包括他在书里面
[03:27] 这次书里面提到
[03:28] 非常非常多的想法都是
[03:30] 其实是我去年
[03:32] 才意识到的一些事情
[03:35] 这么多年
[03:36] 活这么多年都不知道
[03:37] 是啊
[03:37] 对
[03:38] 所以你看
[03:39] 而且我记得他讲过一句话
[03:42] 我觉得这让我最印象深刻
[03:44] 他就说
[03:44] 我们那时候好像说什么
[03:46] 他就说那就创业就好了
[03:48] 然后我们就说
[03:48] 我们没钱
[03:49] 他就说创业为什么要有钱
[03:51] 我说创业为什么
[03:52] 可以没有钱
[03:53] 我有讲过这个话吗
[03:55] 我有讲过这个话
[03:56] 我也不知道
[03:57] 然后我就想说
[03:57] 就是
[03:59] 有创业习惯的
[04:02] 她是连续创业的人嘛
[04:04] 所以我就想说
[04:04] 哇
[04:05] 有在创业的人
[04:06] 跟我们的想法
[04:07] 真的不太一样
[04:08] 像我们之前不讲说
[04:08] 那个
[04:09] 又不认识
[04:11] 干嘛要讲话
[04:12] 我们挨人就这样
[04:12] 然后Ivy就说
[04:13] 不讲话要怎么认识
[04:14] 对
[04:16] 你不开口
[04:18] 你怎么认识她
[04:19] 对
[04:20] 不认识
[04:21] 为什么要开口
[04:22] 所以我想要聊一下
[04:25] 就是兔兔你本身啊
[04:27] 到底是一个什么样子的
[04:29] 就是你是天生的
[04:30] 是因为你的家庭环境所影响
[04:33] 还是说
[04:34] 其实你也是后天才来
[04:36] 思考理财这件事情
[04:38] 其实我觉得都有
[04:39] 像你刚刚讲创业那件事情
[04:41] 我觉得应该是家庭环境的影响
[04:43] 但是理财这件事情呢
[04:45] 是后天的
[04:46] 对
[04:47] 因为其实创业是我父亲一直都在做事
[04:49] 所以我从出生开始
[04:51] 我爸爸就是自己开公司嘛
[04:54] 然后他们也会一直告诉我说啊你要的东西你可以自己创造啊或者是我爸很喜欢把人家公司买下来啊之类的就是他觉得说我们要做产业一条龙然后他就去研究
[05:06] 因为我们以前做那个婚礼
[05:08] 算是相关产业嘛
[05:10] 然后我就跟爸爸讲说
[05:12] 那我们要去看看婚纱店还是怎么样
[05:14] 就他就把那个巷口的
[05:15] 一间婚纱店给整个买下来了
[05:17] 然后就变成我们的公司一个部门
[05:19] 我想说
[05:20] 所以现在是我们要来经营婚纱
[05:22] 可是后来呢
[05:23] 我们有一个非常非常惨痛的经验
[05:25] 是我们那时候做产业一条龙
[05:27] 但是你知道吗
[05:28] 平行跟垂直的管理
[05:30] 是完全不一样的
[05:31] 我说的平行的管理
[05:33] 是我一直开分店
[05:34] 我一直开早餐店
[05:35] 早餐店早餐店
[05:35] 它的管理方式是不是都一样
[05:37] 很像
[05:38] 但是如果是垂直的产业
[05:39] 我又有工厂
[05:41] 我又有食品加工厂
[05:42] 然后我又有那个运输供应
[05:45] 然后我又要去
[05:46] 有些是服务业
[05:47] 我说门市它就是服务业
[05:49] 包装啊什么的
[05:50] 对
[05:50] 所有的流程
[05:52] 全部都是不一样
[05:54] 管理方式不一样
[05:55] 甚至人员的文化都不一样
[05:57] 有些人
[05:58] 有这产业的人
[05:59] 你要给他自由
[06:00] 有些产业的人
[06:01] 你要给他规定SOP
[06:02] 所以那时候
[06:03] 我们就是很惨烈的经验
[06:05] 然后刚好
[06:06] 我当初在公司里面
[06:08] 我是行销主管
[06:09] 然后虽然说是行销主管
[06:11] 但我还有另外一个头衔
[06:12] 叫做大小姐
[06:14] 所以所有的部门
[06:16] 所有的公司开会
[06:17] 通通都要去
[06:18] 通通都要接触
[06:20] 甚至去一线
[06:21] 然后发传单什么的
[06:22] 我全部都试过
[06:24] 然后也去谈过很大的专案
[06:26] 我们那时候差一点
[06:28] 要跟另外一个企业合并上市
[06:30] 所以其实我在业界算是说
[06:33] 很多很多
[06:34] 我自己都觉得这个年纪
[06:36] 很不可思议
[06:37] 会去经历到的事情
[06:39] 我不能说我很厉害
[06:40] 但是我有经历过这些事情
[06:42] 所以那时候Mandy在说创业
[06:44] 想说创业
[06:45] 创业就是你要找愿意
[06:46] 跟你合作的人
[06:47] 你把你的能力交给他
[06:49] 你们做一个能力的交换
[06:50] 至于钱
[06:51] 你只要有能力有想法
[06:53] 就会有人愿意支持你
[06:56] 然后这个人呢
[06:57] 有可能他是用他的资源来支持你
[06:59] 然后他就带订单进来了
[07:00] 我们连钱都不用出道
[07:02] 例如说我有一个很棒的
[07:05] 我有一个很棒的产品
[07:07] 然后我已经先收了预购
[07:09] 所以我可以开始生产
[07:10] 他就不需要用到钱
[07:12] 但是我们还是要压货
[07:13] 还是要行销
[07:14] 还是要什么
[07:14] 但如果他是既有的通路呢
[07:17] 比如说我做土壁生意
[07:18] 然后这间公司
[07:19] 他就直接包了我的一条产线
[07:21] 有可能
[07:22] 因为之前我曾经做过辣椒酱哈哈哈哈我做过辣椒酱然后那个辣椒酱就是一间上市公司的总经理然后他就包了我所有那个辣椒酱第一批的产能
[07:35] 然后我还
[07:37] 我那时候做的那个品牌很可爱
[07:39] 我画了一很可爱的图片
[07:40] 是我第一次想要尝试做电商
[07:43] 欸我好像从来没有讲过这件事情
[07:45] 海里也不知道
[07:46] 我做过电商
[07:47] 对反正那时候申请那批辣椒酱
[07:49] 就是那个上市公司的叔叔
[07:50] 他把我的辣椒酱包给他们
[07:52] 他只有在跑三田
[07:54] 然后他有在骑脚踏车
[07:56] 然后他有在打高尔夫球
[07:58] 他们就包给他们所有球队全部的人
[08:01] 还有他们公司那时候的礼品
[08:03] 那时候的礼贞品
[08:04] 然后我们还把他推到银行里面去
[08:06] 所以我那一整批的大叫叫
[08:08] 我爸觉得非常不可思议
[08:10] 因为我们以前都是装品嘛
[08:11] 一罐120一罐2这样卖120
[08:13] 就是因为你就装了一个玻璃品
[08:15] 然后盖起来你就觉得没有价值
[08:16] 我后来把他
[08:17] 做礼盒
[08:17] 对
[08:18] 我拿去做礼盒
[08:19] 然后我配了一个很漂亮木质的汤匙
[08:23] 然后礼盒做成两罐
[08:25] 然后我就推到银行端去做礼品
[08:29] 所以以前是121瓶121瓶
[08:32] 我加了那根糖尺
[08:33] 其实也几十块而已
[08:34] 然后做了一个礼盒
[08:35] 大概五六十块
[08:36] 那那个礼盒做的还蛮漂亮
[08:37] 所以我那一盒卖到600
[08:39] 然后我爸就想说
[08:41] 这个价钱有人买
[08:42] 他吓一跳
[08:44] 所以对我来说
[08:46] 就是我们怎么都支援
[08:48] 然后我要算我的风险
[08:50] 然后还有我的现金的状况
[08:53] 进出
[08:53] 因为我已经知道说
[08:55] 我有这个量
[08:56] 我先做一个
[08:56] Polotype出来
[08:57] 我已经知道
[08:58] 我有这个量
[08:59] 我就可以去推广
[09:00] 然后如果有更大的产能
[09:02] 我就要来看一下
[09:02] 我的产能
[09:03] 如果不OK
[09:03] 然后去生产线
[09:04] 什么时候喊咖之类的
[09:06] 对
[09:06] Ivy真的第一次
[09:07] 听我讲这故事
[09:09] 很厉害
[09:09] 她的故事很多
[09:10] 她的故事很厉害啊
[09:11] 因为就是
[09:11] 就是比较多
[09:13] 产业上面
[09:14] 去做的这个经验
[09:15] 所以创业这件事情
[09:17] 对我来说
[09:17] 是我想做跟不想做
[09:19] 然后我想做
[09:20] 我就会去控制
[09:21] 后面的风险
[09:22] 然后这个风险
[09:24] 是我可以承担的
[09:25] 所以假设你有钱
[09:26] 你有资源
[09:27] 你会做辣椒酱
[09:28] 然后你知道
[09:28] 你知道怎么样去做行销
[09:31] 这些人都在一起
[09:33] 我们就可以用一个比较
[09:34] 低成本的方式
[09:36] 把这件事情
[09:37] 我想要完成的事情完成
[09:39] 所以那时候我才会跟你说
[09:40] 创业为什么要很多钱
[09:41] 就是因为这样
[09:43] 就是过去的经验
[09:45] 让我觉得这件事情
[09:46] 去创造一个东西
[09:49] 这件事情对我来说
[09:50] 没有到很困难
[09:52] 只是我想跟不想
[09:54] 因為我現在很多時間在陪小孩
[09:56] 非常非常多時間在陪小孩
[09:57] 我就想要把我的世界規模縮到
[09:59] 小然后我自己可控时间又自由的状态
[10:03] 那至于理财是因为我爸爸就是很会创造
[10:07] 所以他没有算到后面的
[10:09] 第一个是他有算现金流
[10:10] 没错我们那个时候的薪资成本高达40几
[10:14] 非常非常高
[10:16] 然后如果说是把变动的薪资再算进去的话就更惊人
[10:20] 我刚刚说是其实固定薪资
[10:22] 那为什么我父亲放不掉这东西
[10:24] 是因为我们是一个30 30 40年的公司
[10:27] 他就觉得你看
[10:29] 这个王叔叔
[10:30] 王经理看着你长大
[10:32] 然后那个什么什么
[10:34] 另外一个经理
[10:36] 你看你小时候
[10:37] 他就是帮你妈妈坐月子
[10:38] 你出生的时候
[10:39] 他帮你妈妈坐月子的
[10:41] 所以我们没有一个老员工放得掉
[10:43] 然后当时呢
[10:44] 我在因为我念人力资源管理系
[10:46] 回到台湾第一件事情
[10:48] 我父亲叫我回去
[10:49] 我第一件事情做人力盘点
[10:51] 我想说我们的闲置人力这么多
[10:54] 就是他们几乎是无效的人力
[10:57] 因为年纪大了
[10:58] 再加上他们做事情
[10:59] 可能就是习惯
[11:01] 用他们的习惯下去做事
[11:03] 所以我那时候很气很气
[11:05] 就是王经理一天到晚跟我说
[11:06] 这个事情我已经做二十几年了
[11:08] 从来没有改过
[11:09] 你这个小矛头一回来
[11:10] 就想要怎样怎样怎样
[11:11] 所以我那时候做了好多的努力
[11:13] 比如说我引进了平衡计分卡
[11:16] KPI的制度
[11:17] 然后EIP系统
[11:19] 因为当时我们没有做EIP
[11:20] 我们做EIP系统
[11:21] 我们做很多很多很多的事情
[11:23] 可是到最后还是没有办法
[11:25] 因为有一些老人家
[11:27] 连开电脑都要教
[11:28] 我们那时候有去申请
[11:30] 那个人体计划
[11:33] 那就要进来有一些平衡
[11:35] 培训啊
[11:36] 而且我们是大人体
[11:37] 不是小人体哦
[11:38] 大公司
[11:39] 那就很麻烦你知道吗
[11:41] 要拍照要怎样怎样怎样
[11:42] 然后那个厨师啊
[11:44] 人家来平衡的时候
[11:45] 他也说
[11:45] 我就是因为不喜欢读书拿笔
[11:50] 所以我才来炒菜
[11:52] 你们现在又叫我念这个
[11:54] 还有读书会
[11:55] 然后呢
[11:56] 又要用电脑
[11:57] 他在弄读书会
[11:59] 对
[11:59] 厨师弄读书会
[12:01] 对
[12:01] 我那时候读的书
[12:03] 第一本好像叫态度
[12:05] 然后我们也读过
[12:06] 你要读厨师读态度
[12:08] 我傻眼
[12:09] 对对对
[12:10] 然后主管比较多
[12:11] 主管那时候
[12:12] 我忘记
[12:13] 我们还读过哪几本书
[12:14] 反正很有趣就对了
[12:17] 那我们也是
[12:18] 希望大家可以平衡生活啊
[12:20] 然后鼓励大家
[12:21] 那个什么
[12:22] 我们也办运动会啊
[12:24] 你知道我ID的超多的然后那个然后带他们出去玩之类的员工被整死对就是去阳明山上做团建
[12:35] 哇
[12:35] 好啦
[12:39] 我现在觉得
[12:40] 我当初是有点太过
[12:41] 因为那时候我也才二十几岁
[12:43] 所以你会想要把学的东西
[12:45] 全部用在家里
[12:46] 全部用在家族企业这样
[12:47] 所以很正常的
[12:48] 那现在我已经
[12:49] 就试过进千人
[12:51] 我那时候看我自己
[12:52] 我也觉得
[12:52] 嗯好像做太多
[12:53] 因为你知道
[12:54] 所有东西都要写
[12:55] 我每个部门的KPI
[12:56] 都是我写的
[12:57] 因为没有人会
[12:57] 然后你要下去平衡
[12:59] 你知道多难吗
[13:00] 因为他们自己
[13:01] 不知道自己写了什么
[13:03] 这个部门
[13:04] 要做什么
[13:06] 这个凸显一个
[13:09] 很有趣的点
[13:10] 就是因为Mandy
[13:11] 一直在做企业转型
[13:12] 企业的数据转型
[13:13] 就凸显一个点
[13:14] 真的
[13:15] 你要转换一个人超难
[13:18] 何况你要转换一个
[13:19] 传统的产业
[13:20] 真的很不容易
[13:22] Mandy一听就知道
[13:23] 我那时候多难
[13:24] 他一个人转而已
[13:25] 别人转
[13:26] 别人不想转
[13:27] 他自转
[13:28] 无法公转
[13:29] 对啊
[13:32] 可是我当年也就是25 6岁啊
[13:35] 然后但是很努力很努力
[13:37] 我甚至也去学了行销什么的
[13:39] PMP之类的
[13:40] 反正我的工作经验就是
[13:42] 算也是蛮密集的
[13:45] 这真的是
[13:46] 那个转型的最痛的点
[13:49] 你发现
[13:50] 我眼泪快要出来
[13:52] 超级密集的
[13:53] 而且我觉得不是这些过程
[13:56] 让你觉得很辛苦
[13:57] 是开会的时候超辛苦的
[13:59] 因为你开会的时候
[14:00] 没有人要听你说什么
[14:01] 然后你又完全
[14:03] 而且他们也听不懂啊
[14:05] 他们也听不懂
[14:06] 也没有人要听
[14:07] 大家说说你说这个要干嘛
[14:08] 要说这个要干嘛
[14:09] 我那时候做到
[14:10] 我们还成为那个
[14:11] 我们后来在台北市有开分店
[14:13] 所以我们有一个台北市的专案
[14:15] 转型亮点
[14:16] 你知道所有的我们得奖
[14:18] 亮点计划
[14:18] 亮点计划
[14:19] 妈呀好熟哦
[14:22] 然后我跟你讲
[14:23] 所有的公司都是派了一整个团队去领奖
[14:26] 然后下面还要长布有没有
[14:27] 然后我呢
[14:28] 就是我跟我部门的一个设计师助理
[14:31] 我们就两个人
[14:33] 然后看到其他部门上去
[14:34] 然后下面摊位还是要有人啊
[14:35] 我们没办法
[14:36] 我们在领奖的时候下面就没人
[14:38] 然后还没有人可以拍照
[14:39] 然后那个奖牌奖状什么的拿回去之后
[14:42] 我想说要不要挂在店里
[14:43] 然后他们说挂这个干嘛
[14:44] 收起来啊
[14:45] 你知道这多难吗
[14:48] 你知道这个
[14:48] 天哪
[14:50] 我靠一人之力
[14:51] 我一人
[14:52] 就是他一個人轉
[14:53] 而且轉得很兇還給他的獎對真的專門給自己的獎真的這個亮點就給你你就是公司的亮点没错然后我们还去那个什么台北市政府
[15:05] 那个500个摊位
[15:07] 我们那时候也是
[15:08] 老店转型还是什么的
[15:10] 反正也是一个计划
[15:11] 然后你知道吗
[15:12] 那时候遇到母亲节
[15:14] 店里面很忙很忙
[15:15] 我这实在太好笑了
[15:17] 不用讲我的书
[15:17] 讲这个就好了
[15:18] 那时候真的太有趣了
[15:21] 因为刚好遇到5月份
[15:22] 然后他们就说
[15:23] 我们没有办法
[15:23] 有人力给我们
[15:24] 所以给你们
[15:25] 所以你们要去摆那个摊会可以
[15:27] 就五六日嘛
[15:28] 然后你知道摆那个摊
[15:29] 你又要卖东西
[15:30] 然后因为它是食品相关的
[15:33] 又要卖东西
[15:34] 然后又要介绍之类的
[15:35] 就我跟我老公还有我妹妹
[15:37] 我们站了三天
[15:38] 我跟我老公我妹妹
[15:41] 我跟我老公我妹妹
[15:42] 当时是老公吗
[15:43] 还是男朋友
[15:44] 当时是男朋友
[15:44] 男朋友被脱去
[15:46] 真的
[15:46] 然后我们还因为没有冰箱
[15:48] 你要申请这些东西
[15:49] 供电什么的
[15:50] 因为家里面要给资源
[15:52] 那都要钱
[15:53] 但是费用一项一项加上去
[15:55] 所以我们用超级无敌大的冰桶
[15:57] 就在那边
[15:58] 超好笑超困难的
[16:00] 好阳春
[16:01] 然后我还有另外一个计划
[16:03] 那更好笑Mandy会笑死
[16:05] 因为我有好几个
[16:06] 我们有三个餐饮品牌
[16:07] 那我三个餐饮品牌同时参赞
[16:09] 但是呢
[16:10] 只有我一个人
[16:12] 你知道那个评审委员
[16:13] 这样走过去
[16:14] 然后我就在那边讲讲讲
[16:15] 就讲A
[16:16] 然后到校园下一谈
[16:17] 而且我更讲要换制服
[16:18] 因为是什么品牌
[16:25] 你好像在嘎戏的喜剧演员
[16:29] 对
[16:30] 然后我就换制服
[16:32] 然后跑过去
[16:32] 然后那个评审委员说
[16:33] 刚刚那个是你
[16:34] 我说对
[16:35] 我们同一间公司
[16:36] 然后你衣服换好了
[16:37] 超难超难的
[16:44] 然后我还去上什么行销课程
[16:47] 就要写自己的什么行销亮点
[16:49] 然后SWOT Analysis
[16:51] 那大家都是整个部门一起去上嘛
[16:53] 我一个人写两件的
[16:55] 然后那个老师走过来说
[16:57] 你写很快哦
[16:58] 我说对
[16:59] 我写很快
[17:00] 因为我一次要写两件
[17:01] 就是你一个人不断不断的在努力
[17:05] 就是那个情况之下
[17:06] 你会觉得
[17:06] 我好想要被肯定
[17:08] 所以后来我出了第一本书
[17:10] 加记力的时候
[17:11] 因为我父亲那时候一直都觉得
[17:12] 你做这些事情
[17:14] 我没有看到钱
[17:15] 我没有看到成果
[17:17] 就是营业流要进来啊
[17:19] 那他们以前的投资成功的点
[17:23] 都是我电型扩张或是我重新装潢我做了新的生产线然后投了一大笔钱进去然后销售量就起来了但是现在不是后来就有一大批是
[17:35] 从韩国跟日本来的品牌
[17:37] 所以整个这个企业的转型
[17:39] 就变得跟我们以前想象的不一样了
[17:42] 变成小而美
[17:44] 所以后来才会
[17:45] 那个现金流的部分有出问题
[17:48] 然后我父亲就不放弃嘛
[17:49] 持续投 一直投
[17:51] 然后再加上老员工都不做事
[17:54] 没有他们不他们没有不做事
[17:55] 他们不知道怎么办
[17:57] 嗯
[17:58] 对因为面对这么一大波
[18:00] 就是传统产业变成
[18:03] 你要转型成品牌的时候
[18:05] 他们应付不来
[18:06] 嗯
[18:06] 甚至我是第一批
[18:08] 引进Fu Panda进公司的人
[18:10] 那时候Fu Panda已经快要退出台湾了
[18:12] 然后他们就说
[18:13] 啊那个机器一直想是要怎样
[18:15] 接单啊
[18:16] 对甚至没有人会
[18:18] 就是没有人意识到都是接单
[18:20] 对那是那是一个生意这样
[18:23] 所以其实是蛮辛苦的一段过程
[18:26] 那当然对我来说是很密集的养分
[18:29] 因为就几年的时间
[18:31] 然后快速成长
[18:32] 大概五年多吧
[18:34] 五六年
[18:35] 然后后来我去做了新创企业
[18:37] 然后就走上募资平台
[18:39] 然后拿到国外的资金什么之类的
[18:44] 所以我做了很多
[18:45] 现在讲起来很厉害
[18:48] 但是当时我是每天躲起来哭
[18:50] 因为你的努力没有人看见
[18:53] 然后大家会想说
[18:54] 你到底每天在干嘛
[18:56] 你每天出门是在干嘛
[18:57] 你为什么不直接回来
[18:59] 帮忙倒果枝端盘子
[19:01] 所以你在做些什么事情
[19:03] 我没有成果
[19:04] 没有营业额给你看
[19:07] 对
[19:07] 那最主要原因是一间
[19:10] 这么行之有年的公司
[19:13] 然后这些所谓的前辈们
[19:17] 他们的经验
[19:18] 在那个时候其实是不适用的
[19:20] 那我要怎么样用这么大的力气
[19:24] 把所有人转过来
[19:25] 他需要共同的文化
[19:27] 但如果没有的话超难
[19:30] 嗯
[19:30] 超难超难
[19:32] Mandy应该就是疯狂点头如大酸
[19:35] 对啊
[19:35] 转型这种事情就这样子啊
[19:37] 对啊
[19:38] 所以我知道他的辛苦
[19:40] 而且他又是
[19:41] 因为他是在家里
[19:42] 他是家族
[19:43] 更辛苦
[19:44] 他的老板就是爸爸
[19:45] 真的
[19:46] 对啊
[19:46] 这比我们在以前
[19:48] 在公司更辛苦
[19:49] 是
[19:49] 超级
[19:51] 而且有的时候
[19:52] 你会面临到一个
[19:52] 很奇妙的现象
[19:54] 就是
[19:54] 我觉得这是台湾的公司
[19:57] 很需要检讨的
[19:59] 所谓的家族企业跟企业家族到底是什么
[20:02] 我那时候想了很久很久
[20:05] 因为家族企业你会以家族为优先
[20:07] 所以你会用家族的人
[20:09] 甚至长幼要有序
[20:10] 所以我那时候面临到一个很大的问题是
[20:13] 我的能力比我的长辈好
[20:16] 怎么办呢
[20:18] 但是他是我的长辈
[20:20] 所以他随时哦
[20:21] 他挂副理我挂经历
[20:22] 可是他可以改我出去的案子
[20:24] 他可以改我的签诚
[20:26] 他可以签不过
[20:27] 但是我是经历他是副理
[20:29] 你知道这个
[20:30] 因为他是长辈
[20:32] 对因为他是长辈
[20:33] 所以这个很难很难
[20:35] 然后之前我爸也有跟我讲说
[20:37] 你为什么不尊重长辈什么有的没的
[20:39] 然后我就跟我爸讲一句
[20:41] 我说在公司
[20:42] 他是我的下属
[20:44] 你这样很为难我
[20:45] 非常非常为难我
[20:47] 然后我跟我爸说
[20:48] 你把他伸到我上面
[20:50] 变我的上司好不好
[20:51] 当他变成我的上司就没有问题了
[20:55] 可是我的长辈在我公司是我的下属
[20:57] 你知道我有多为难
[20:59] 真的是这样
[21:01] 这个状况在你
[21:02] 就是后来去创业以后
[21:04] 就是自己走自己的路嘛
[21:06] 认可度有回来吗
[21:09] 当然有啊
[21:10] 还在认可度报表
[21:11] 现在的确是
[21:13] 因为当时你的状况就是
[21:15] 出去大家是看你是谁的小孩
[21:19] 所以有时候你会发现
[21:20] 很多人都不理你哦
[21:21] 不理你哦
[21:22] 然后可能某一个我爸爸的朋友
[21:24] 然后带我去认识主办单位
[21:26] 或是主办
[21:26] 就说啊这个是某某某公司
[21:28] 她是真宠的女儿
[21:29] 然后他们就会理你了
[21:31] 然后所以我也有曾经听过
[21:34] 也是长辈跟我讲的
[21:35] 他说你如果不是你爸的女儿的话
[21:37] 你觉得有人会听你的话吗
[21:39] 你觉得公司里面有员工会配合你吗
[21:42] 你觉得你资源兜得进来吗
[21:44] 如果你不是你爸的女儿
[21:46] 你什么都不是
[21:47] 听到听这话应该超难过的
[21:49] 对
[21:50] 我听过蛮多二代
[21:52] 大概就是
[21:52] 都是现在一种故事
[21:54] 所以我鼓励
[21:55] 如果听到这一集的二代
[21:57] 自己出来做
[21:59] 自己出来做
[22:00] 你身上的资源绝对是
[22:02] 我说的资源不见得是钱
[22:04] 因为我那时候没钱去摆摊什么的
[22:06] 都是爸爸出
[22:07] 跟爸爸
[22:08] 对对对
[22:09] 一定要跟公司
[22:09] 对对对
[22:10] 应该是公司要出的
[22:12] 但是我们那时候没办法
[22:13] OK
[22:14] 所以我觉得你身上有的资源
[22:16] 就是我们累积的这些经验
[22:19] 还有
[22:20] 有的时候公司有一些员工
[22:22] 他们愿意帮忙
[22:23] 或是你甚至可以公司内部创业你先共用一个就是我共用会计我共用行销我先小小的做然后去取得部分的资源出来你自己先做出一点成绩
[22:35] 被认可之后
[22:36] 你就有机会去发展
[22:39] 我觉得是这样
[22:40] 不然我们以前
[22:41] 这个是内部
[22:42] 外部的人怎么看我们
[22:44] 外部的人都说
[22:45] 你好好喔
[22:47] 家里富二代
[22:49] 你大小姐
[22:50] 你都不用找工作
[22:52] 你做成功了
[22:54] 人家会说什么
[22:55] 还不是靠爸爸的
[22:57] 对
[22:57] 所以你成功很自然啊
[22:59] 你又有资源
[23:00] 然后那个
[23:01] 就大家都会给你啊
[23:03] 对
[23:03] 那你失败了
[23:05] 大家会说你什么
[23:06] 啊
[23:06] 就是败家之类的
[23:08] 败家
[23:08] 所以永远都不会有
[23:10] 好的话
[23:11] 好的话
[23:12] 所以当时你的压力
[23:13] 是一个极大的
[23:15] 然后你也不知道
[23:16] 怎么跟同学们讲
[23:17] 我们只能够跟
[23:18] 我们一样是
[23:20] 二代在接班的人说
[23:21] 因为大家都一样
[23:23] 同温层
[23:23] 大家都一样
[23:24] 大家都是这样啊
[23:26] 所以我们都说
[23:26] 我们是那个总经理特助
[23:28] 那个叫做什么你知道吗
[23:31] 全名叫做总是特别无助
[23:34] 对
[23:37] 明白
[23:39] 真的因为你就是
[23:40] 你其实没有
[23:41] 但是人家看你就是这样子
[23:43] 所以我觉得那段时间
[23:45] 给我极大的养分
[23:46] 所以后来为什么人家说
[23:48] 你好像做什么都做得成
[23:49] 对
[23:50] 我只是就是公司转型这一段
[23:52] 就学了很多很多
[23:54] 但我还蛮感恩的啦
[23:55] 因为我出去
[23:56] 学的这些学费啊什么的
[23:59] 说实在的
[24:00] 当时我有报工账
[24:01] 对
[24:04] 比如说学P&P
[24:05] 学什么学什么
[24:05] 我有报工账啊
[24:07] 那他们就是阻止不了我
[24:08] 就有一点那种
[24:09] 互相在抗衡的状态
[24:11] 那他也知道你去学东西
[24:13] 可是他又没有看到成果
[24:14] 我觉得这个就是一个
[24:15] 当时的不平衡
[24:17] 然后后来理财是怎么学
[24:19] 理财是因为那一段
[24:21] 现金流后来没有嘎过来吗
