[00:00] 主持人：歡迎來到好聲音。
[03:58] 主持人：就是耍廢，不管他了。
[04:00] 來賓：反正不計較，這是也好，沒有也好，那就是消極的隨緣。那積極隨緣就是盡人事聽天命。消極隨緣搞不好就當和尚去了。
[04:09] 主持人：沒錯。
[04:10] 來賓：所以其實就是一個人身觀可能會影響到你的動力。就是你怎麼想會影響到你要不要再做。
[04:19] 主持人：對。
[04:20] 來賓：所以這個其實是我體會到其實可能就是有這些特性存在，所以我覺得反正盡量做，反正做了也不一定會成功，反正我已經問心無愧就好。
[04:33] 主持人：對。
[04:33] 來賓：那如果不成功就上輩子欠人家的。
[04:36] 主持人：呀，因為其實這個東西我聽完之後不是只有在創業，包含在職場上面，包含生活上面都一樣。
[04:42] 來賓：是。
[04:42] 主持人：對不對？你今天認真做其實不是為了別人，是為了自己。但要成功這件事情，你不一定只有靠自己就能成功，你有各方面的各種不同的因素嘛，對不對？但如果真的不成功的話，你至少曾經有過付出過了，你不會對不起自己。
[04:58] 來賓：對，我就很努力做了，我問心無愧就好了，問心無愧其實你就會覺得睡得安穩啊，我該做的都做了，我做到最後moment還是不行，不行我也沒辦法了。
[05:09] 主持人：呀。
[05:10] 主持人：那KD我想請教你，因為現在目前而言的話，就是行業的類別跟賽道越來越多了。
[05:17] 來賓：對。
[05:18] 主持人：那你怎麼看待，如果今天回過頭來，因為你當初是誤打誤撞創業嘛，那在創業過程當中，這個會碰到很多的問題，其實說句老實話，就算是在職場上面，我也聽到很多上班打工族也覺得自己有很多的問題。而這些問題呢，也不見得說你退休之後就沒有問題。
[05:40] 來賓：對。
[05:40] 主持人：就像這個單身有單身的問題，結婚有結婚的問題，對不對？你那個問題不是說對錯，你只要走了不同的路，它這個不同路上面，你要成長的話，你就一直在解題嘛。
[05:52] 來賓：對。
[05:52] 主持人：那你怎麼去看待，如果今天一個年輕人也好，或是有一個可能像您當時誤打誤撞，突然有人邀請他要創業的話，那你會怎麼給他就是分享跟建議你的看法，今天原來他可能是在上班族，他可能要從上班族變成創業家的話，你會怎麼去給他一個建議？
[06:12] 來賓：因為這個每個階段，不管你是創業，因為很多人創業，不要說創業，就是在職場裡面，他就想看換到別的公司去會不會好一點，然後會不會輕鬆一點。
[06:21] 主持人：對。
[06:23] 來賓：那有時候是因為跟這個主管合不來，理念不好，或者公司理念不好，但換到別的地方去，你也不知道那個。
[06:31] 主持人：也會碰到。
[06:32] 來賓：所以也會一樣。
[06:33] 主持人：對。
[06:34] 來賓：所以其實只能夠說改變自己，就是其實到每一個地方去都都是一樣。當然你要想說，你要走到第二條路，那你最終也許是第三，第三個那一個。但是你要走到第二，那就要看這個對第三有沒有幫助。
[06:52] 主持人：幫助，嗯。
[06:52] 來賓：假設，假設說你是想創業好了，那你創，你最終是希望創業，那你想創什麼業？那或許你就會想說，我要不要改變一個賽道，然後去接近要未來要創業的東西。也就是你是有目的性的跳槽的概念。
[07:10] 主持人：呀。
[07:11] 來賓：那這樣你等去學東西，之後再去做，可能就會成功性比較高。
[07:15] 主持人：呀。
[07:16] 來賓：但是問題是是，有些人就是也許因為在職場上不太順利，也許是因為工作上他壓力大，也許是老闆的理念跟你不一樣，或者老闆的這些習慣跟你不一樣，或者給你的獎金少一點，你就想要換。但是這個有時候換一換，其實就會變成越換越。
[07:38] 主持人：越不好。
[07:39] 來賓：不一定，不一定。
[07:39] 主持人：對，不一定。
[07:40] 來賓：就是就滾石不生苔，就是你換了越換，那其實不一定會更好。那尤其是像常常我們在併購的時候，有人一聽到消息就就想換。
[07:51] 主持人：就換就對了。
[07:52] 來賓：那換去哪裡？也是新公司，那跟一個新的企業主來有什麼兩樣？
[07:57] 主持人：一樣。
[07:58] 來賓：沒有，但這個就心態上必須要去想通。
[08:02] 主持人：對。
[08:03] 來賓：但我的想法就是，如果你想要跳到第三，那你要走到第二，那要看看第三你要幹什麼。最終點的那一個想清楚。
[08:14] 主持人：以終為始來去看待。
[08:15] 來賓：以終為始，然後來看看你應該走怎麼樣路會比較好。不是說不可以換，還是可以換。那創業其實也一樣，但我剛剛提過就是創業往往不如你想像的。
[08:27] 主持人：對。
[08:27] 來賓：因為你很多東西是算計不到的。
[08:29] 主持人：未知的。
[08:30] 來賓：未知的。
[08:31] 主持人：都未知的。
[08:32] 來賓：都未知的，所以你其實會碰到很多的問題。但是心裡如果比較健康一點，就認為這問題是是是對的，永遠存在的，你心裡自己健康，像我常常每天。
[08:45] 主持人：你有個預設說這本來就會有問題的，對不對？
[08:47] 來賓：我每天要上班之前，我尤其我們周的通物業其實問題非常多。
[08:52] 主持人：非常多，對。
[08:53] 來賓：那我每天都自己打一黃針，反正95%都是壞消息，在外面排隊等我開會，等我裁決的，等著我要一起討論的，都是壞消息，95%壞消息。可能勉強有5%的好消息。那這5%好消息裡面又帶著壞消息，他都帶了一個大訂單來了。
[09:13] 主持人：對。
[09:13] 來賓：帶大訂單來，我開始想，我資金怎麼來？我要不要幫他備料？備料以後萬一不拿？或者是以後退貨怎麼辦？
[09:21] 主持人：怎麼辦？
[09:22] 來賓：那我倉庫也放不下，那怎麼辦？所以只高興三分鐘，其他都是煩惱。
[09:26] 主持人：呀。
[09:27] 來賓：所以就永遠就是把它假設，反正到辦公室去，通通是掛急診的。
[09:33] 主持人：這有道理。
[09:34] 來賓：都沒有好消息，那你心裡就會覺得坦然，今天去一定會碰到問題，他為什麼會來找你？是因為他解決不了，你比他有價值，你在他上面好像就醫生一樣，我來看診的。
[09:42] 主持人：對。
[09:48] 來賓：那如果你你不能解決問題，他就不會找你嘛。
[09:52] 主持人：對。
[09:52] 來賓：所以表示你還有那個價值存在。
[09:55] 主持人：還有價值。啊，有道理。
[09:56] 來賓：那心裡就會覺得比較坦然，反正他他找你是應該的。所以其實都是靠這個一黃針自己先打，反正95%都壞消息，打最後說乾脆都認為他永遠壞消息。
[10:09] 主持人：呀。
[10:10] 來賓：所以當你碰到壞消息的時候，你不會訝異。你也不會罵他，為什麼那麼不尊重你還找我。
