[00:00] (Music)
[02:29] 主持人：當一個人總是言不由衷,只讓別人看到他隨和無害的一面,卻不給別人了解真正的他的機會時,他與別人的關係也就難以真實親密。
[02:43] 主持人：也就是說,如果你一直帶著好人面具,別人喜歡的只是那個面具,而不是真實的你。
[02:50] 主持人：更可怕的是啊,在這種反复的內心爭戰,妥協與忍痛放棄中,你會逐漸削弱自己的自我價值,讓自己逐漸失去自我。
[03:03] 主持人：重點三,誠實是人際關係裡最棒的藝術。
[03:08] 主持人：我們常因為害怕得罪別人,而編造了一堆藉口,但其實啊,當你不再為了害怕得罪對方去編出一套說詞,不再為了自己的委屈求全編出破綻百出的故事,你的語言會變得更輕盈,心會更平靜。
[03:26] 主持人：書裡有一句話寫的非常美。誠實是關係的藝術,面對親近的人,用真實溫柔作為養分來灌溉信任,讓真誠的理解在彼此之間盛開。
[03:40] 主持人：面對不了解自己的人,則是以自愛坦率作為畫筆,既畫出界線也畫出橋樑。
[03:48] 主持人：誠實啊,不但不會推開別人,反而能讓別人更認識你哦。
[03:53] 主持人：聽完了這三個重點,你是不是也想停止這種委屈自己的溝通模式了呢?
[03:59] 主持人：要做到對自己誠實,書中提供了非常實用的心法,請你在接下來的生活當中可以試著練習。
[04:07] 主持人：步驟一,開口前先問自己的靈魂拷問。
[04:11] 主持人：很多時候啊,我們脫口而出答應別人,是因為大腦的慣性。
[04:16] 主持人：那具體怎麼做呢?書中建議,請相信這個世界沒有那麼多身不由己,只要你願意在回應前,停下來先問自己,對方說的話跟我有什麼關係?我真正想要的是什麼呢?
[04:31] 主持人：先把這個問題想清楚,再決定你要怎麼開口回應。

[最後3分鐘片段開始...]
[04:35] 主持人：步驟二,把自己當成你愛的人來對待。
[04:40] 主持人：我們對待朋友總是很寬容,但對待自己卻無比嚴苛。具體怎麼做呢?
[04:47] 主持人：請把書中這一段話刻在你的心裡。
[04:51] 主持人：像對待某個你愛的人一樣對待自己,傾聽你的願望和需求,並給予自己。
[04:58] 主持人：如果今天是你最好的朋友不想去那個聚會,你會逼他去嗎?肯定不會吧。那你為什麼要逼自己呢?
[05:06] 主持人：傾聽自己內心的不願意,並允許它存在。
[05:11] 主持人：��驟三,運用誠實加上溫和堅定的回應公式。
[05:16] 主持人：作為一個回應者,要先滿足自己的期待,再去照顧對方的處境。具體怎麼做呢?
[05:23] 主持人：拒絕別人不需要兇狠,也不需要撒謊。你可以溫和的說,謝謝你的邀請,但我這週末想留點時間給自己休息,這次就不參加了。
[05:34] 主持人：你不需要為自己的界線感到抱歉,溫和且堅定的把真實的想法表達出來就好了。
[05:43] 主持人：準備好了嗎?今天的行動挑戰就是這本書裡為大家設計的專屬為你練習哦。
[05:49] 主持人：本週在面對別人對你的期待時啊,請練習,先對自己誠實,再照顧對方的處境。
[05:56] 主持人：試著用溫和且堅定的回應讓對方知道你真實的想法,更了解你。
[06:03] 主持人：哪怕只是一件很小的事情,例如啊,勇敢說出我今天不想吃這家餐廳,去體會一下那種心口如一的暢快感吧。
[06:14] 主持人：最後,我們終其一生都在尋求別人的認同,卻忘了最該認同我們的人,其實是自己。
[06:23] 主持人：不要再用不誠實來換取虛假的和平了。
[06:27] 主持人：因為真正愛你的人不會希望你委屈,而那些要你委屈來成全他們的人,也不值得你犧牲自我。
[06:36] 主持人：對自己誠實是你愛自己最高級的方式,也是你建立健康人際關係的唯一途徑。
[06:43] 主持人：以上是今天的節目,記得跟著每天行動挑戰,每天一點點讓改變看得見,也歡迎加入聽眾專屬社群,五級郎底家,連結我會把它放在節目資訊欄位。
[06:53] 主持人：我是安迪,我們下一集節目見咯,拜拜。
[06:56] (Music)
[06:58] 主持人：喜歡今天的節目嗎?歡迎在Apple Podcast上留下五星好評,給予我們支持和回應。
[07:04] 主持人：Android系統的朋友可以在Spotify上直接留言。
[07:07] 主持人：你的回應就是我們做節目最大的動力,我們下集節目見,拜拜。
[07:12] (Music fades out)
