[00:08] 主持人：哈囉，各位聽眾朋友大家好，歡迎收聽哇賽新觀點，與你一起發現新視野，我是宇澤。我們常常想要財富自由啊，要賺更多錢，可是其實還有一個更基本的問題，很少會想起來，就是你的金錢觀到底是什麼。有些人呢，會揮金似土，那有些人呢，可能帳戶很多錢，可是心裡還是很焦慮說，哎呀，我的錢不夠。所以呢，核心還是要了解你自己的金錢觀，你才可以更延伸說，欸，我怎麼理財，我怎麼投資。可是再進一步啊，當我們結婚有伴侶有小孩之後，其實你的金錢觀已經不再是你的金錢觀了喔，因為你的家庭金錢觀必須要溝通嘛。所以家庭理財的難處不只是你要賺錢，不只是你的金錢觀，更重要的是你跟你伴侶之間，你們的觀念是不是一致，而且要怎麼溝通呢？所以今天呢，我們就想要來從自己的金錢觀，然後延伸到伴侶，甚至孩子的理財跟金錢觀，以及在家庭裡面我們怎麼來溝通。那我們今天邀請的來賓呢，就是在家庭理財方面非常有經驗的精算媽咪 Sandy Tu。
[01:15] 來賓：哈囉，大家好，我是陪你精算生活，創造理想人生的 Sandy Tu。
[01:19] 主持人：對，其實家庭理財是一件不容易的事情啊，因為我們一般講最簡單的，比方說像我們這種中年男性，就說好，交給老婆管，或者是現在很多年輕人說我們就 AA 管，但老實說其實也沒有那麼簡單，你說 AA 真的有辦法算到全部都 AA 嗎？
[01:37] 來賓：其實蠻難的。
[04:30] 主持人：所以你如果用這種角度來講，你就會發現其實你爸爸媽媽剛好各司其職啦，那他們方向���實也是一樣的嘛。
[04:38] 來賓：嗯，沒錯。
[04:38] 主持人：可是這樣說起來，以你來講，你從小到大因為原生家庭給你的金錢觀，塑造了現在的你，好像我們每一個人的金錢觀都會來自於原生家庭，為什麼還會有一些人的金錢觀是好或者是金錢觀不好？
[04:53] 來賓：金錢觀好跟不好，我覺得沒有一個特定的定義，就是你到底舒不舒服，你對於你現在的花錢，自己是不是有安全感的。因為它除了來自原生家庭以外，我發現還有來自我們自己的生命經驗。就像我自己的家族其實在 14 年的時候面臨了一次非常大的財務危機，所以當時呢，我們就是一個大家都有債務的狀態。那那個不安其實會讓我一直留到現在，我到現在喔，都很喜歡存錢，非常非常喜歡存錢。它也是一個記憶，然後也許你可以說它是個創傷，但是它會帶給我們行為上不同的轉變。就到現在大家問我說原生家庭帶給我的金錢觀到底好還是不好，我覺得就是每個人狀態不一樣。如果你現在不會因為用錢焦慮，或者你不會因為你這筆錢要付出去了，你就覺得，啊，天崩地裂了，或者是我現在在做投資決策的時候，我不會太倉促的決定的話，它對你來說就是好的。可是如果你會，���有些人他可能要存錢，存 24 個月的緊急預備金，他才覺得我有我有存到緊急預備金的感覺，我真的有遇到過這樣子的朋友，然後他也是一個跨國企業的行銷長，但他為什麼要存 24 個月緊急預備金就是因為他父親在他高中的時候就有財務狀況發生，然後後來爸爸媽媽又接連生病，所以他大學的時候就開始養家了。對他來說，這 24 個月的緊急預備金很像救命的一根浮木，所以他沒有辦法失去它，雖然理智上告訴他說，好像有一點閒置資金太多，但是他還是選擇這麼做。所以我覺得就是沒有什麼好跟不好，就是我舒不舒服而已。
[06:39] 主持人：欸，我覺得這跟你剛剛談到的從原生家庭來的一個感受的記憶。因為所謂的記憶並不是說爸爸媽媽教我什麼，而是他們怎麼去看待金錢，或者是在小的時候，就是因為錢帶給我的什麼樣子的正向或負向的感覺，然後就會延伸，然後隨著長大，那那樣子的感受的記憶就會一直停留在現在。
[06:57] 來賓：嗯。
[07:02] 主持人：對啊，因為你剛剛講的例子我就想起，其實小的時候，因為我家家境也沒有很好，所以我媽媽最常用的就是，啊，我們家那麼窮，我們家沒有錢，不要買東西。
[07:12] 來賓：對。
[07:13] 主持人：所以長大以後啊，我的女兒要跟我說要買什麼東西，以前一剛開始啊，我還脫口而出，哎呀，我們家很窮啊，那個不要買。可是那個貼紙也才 15 塊啊。
[07:23] 來賓：對。
[07:23] 主持人：15 塊真的買不起，其實它不是買不起的概念。
[07:26] 來賓：對。
[07:27] 主持人：而是根深蒂固覺得，欸，我們家其實是沒有那麼好的，你不應該買不需要的東西。
[07:34] 來賓：嗯。
[07:35] 主持人：對，所以所謂的金錢觀你從原生家庭繼承而來，也的確沒有什麼好或不好，只是適不適用你現在的狀態。
[07:42] 來賓：沒錯。
[07:43] 主持人：所以我們必須要覺察這個跟你現在的狀態合不合適，那如果不合適可能就需要一些調整。
[07:49] 來賓：調整，對啊。
[07:50] 主持人：那你是不是有遇過有很多人，他們的現在的狀態跟他原生的金錢觀，可能是衝突的，所以導致他現在可能過得不開心。
[08:00] 來賓：其實有蠻多的欸，因為小時候就覺得我爸爸媽媽好省，所以我長大之後要對自己好一點，它是一個極端。然後也有小時候爸爸媽媽很省，所以他長大還是很省的，但我還是回到自我覺察的部分，就是我到底這樣子做，我是為了要報復嗎？還是我是為���要平衡我自己，那我卻覺察到我現在的感覺是什麼。所以我這本書其實是講了非常多你對金錢的感受，然後也做了一個 28 天的練習的小冊子，就是想要讓大家去回想，我這樣子的行為，我到底是為了什麼，然後我感覺到了什麼。所以我當我在跟我父母對抗的時候，我可能想要的其實是他給我一個抱抱，但是我選擇了對抗。所以我覺得在這個部分是在進入到自我覺察之後，你就可以完全去了解為什麼我想要買這個東西，為什麼我覺得投資是危險的。
[08:54] 主持人：你剛剛講自我覺察，我覺得這個是非常重要的一個關鍵，但對很多人來講，他可能也沒有那麼容易，他平常的生活我的意識，我的注意都關注在別的地方就已經很累了啊，你現在買個東西還要叫我想會不會買這個東西，那很累欸。
[09:12] 來賓：是。
[09:13] 主持人：對啊，所以很多人一剛開始做應該都不容易進入吧。
[09:16] 來賓：我覺得蠻難的，一開始，所以其實我還蠻支持大家可以稍微去感受一下你的身體。就是有時候我們在買一杯飲料，那你心裡面就出現一個小聲音，啊，我又亂花錢了，90 塊一杯珍珠奶茶，鮮奶的，很貴，那為什麼我又花這個錢，出現這個小聲音的時候，你就可以把它稍微 mark 一下，就是為什麼我會出現這個小聲音。或者是我今天真的覺得我上班下班之後，我買這一杯 90 塊的飲料好爽喔，這是太開心了，你可以記錄下來。或者是我在收到帳單的時候，是不是有一點愧疚感跟後悔，有可能你在面對什麼樣子的帳單，譬如說罰單，你會有什麼樣的情緒標示。我覺得是需要透過一些引導的練習，所以我書裡面就講了非常多的案例，所以當我們常常練習的時候，我們才能夠發現。
[10:06] 主持人：欸，我想到可能會有兩種人啊，就是花錢的時候都沒有感覺，等到帳單來了。
[10:13] 來賓：才有感覺。
[10:14] 主持人：才有感覺。這種是不是更需要覺察？
[10:16] 來賓：對啊，我覺得這種才更需要覺察欸。嗯，那我其實有提到另外一個方法是我用自我書寫的方式，就是你帳單來了之後，自由書寫，你就覺得這帳單來了，我付不出來，我好緊張喔，我可以用自由書寫的方式，就寫下我現在的所有的感受，不管是正向負向的，然後我再來看看說，真實的我是這樣子想的。我自己也練習了很久一陣子，因為自從家裡面有一些狀況之後，其實我對金錢的感覺是很負面的，然後很控制。所以我會記帳記到一塊錢��不差。
[10:47] 主持人：哇，一塊錢都不差。
[10:49] 來賓：一塊錢都不差，那個時候的狀態不好，然後我也捨不得花錢。
[10:53] 主持人：那我我可不可以冒昧的問一下，你先生不會覺得很痛苦嗎？
[10:56] 來賓：我先生不會，我先生還蠻 support 我的。
[11:00] 主持人：喔，所以他也是喜歡這樣子非常精準的。
[11:03] 來賓：對對對對對，他。
[11:03] 主持人：那你們怎麼配合啊？
[11:04] 來賓：是我在帳務管理的那上面，我就有把他那一塊給他自己來做管理，所以其實我在之前的書裡面有寫到，夫妻雙方是需要零用錢的，所以我先生有他自己的空間，然後我對我自己的空間管控非常的嚴格。對我先生來說，他是有好處的啦，因為我每個月給他看資產負債表的時候，他都覺得有成長，那但是他自己的零用錢他要怎麼花就隨便他這樣子。
[11:30] 主持人：嗯。
[11:30] 來賓：所以其實我覺得還是需要有一個界線在。
[11:33] 主持人：好，那我們剛剛提到進入家庭了嘛，因為你跟你先生，當你有伴侶之後啊，其實你的金錢觀已經不只是你的金錢觀了。
[11:41] 來賓：對。
[11:41] 主持人：那在你接觸這些家庭理財，你覺得我們大致上可以分成有幾個類型嗎��
[11:48] 來賓：欸，其實我分了四個類型，第一種是比較控制型的人。
[11:52] 主持人：就是你剛剛講的。
[11:53] 來賓：我剛剛講的就是我一開始的那個狀態，就很很控制，我希望可以所有東西都做成 Excel 表，然後全部都在我的掌握當中。
[12:01] 主持人：所以你覺得那一種就是會一直記帳，然後甚至他會去規劃我這個月要花多少錢，他這種相較之下比較像控制的。
[12:09] 來賓：要看心態，因為我現在也會，但是我現在也沒有那麼控制了，我是想要有掌握度，然後去做規劃，跟以前那種我要控制才有安全感的感覺是不太一樣的。
[12:22] 主持人：喔，他是因為需要安全感，所以他要每一筆。
[12:25] 來賓：對。
[12:26] 主持人：這樣。
[12:26] 來賓：對，但現在我是因為我想要留給未來嘛，我好多想做的事情，比如說我想要去看奧運啊，你知道下一次奧運在 LA，就是你有很多你這一類的夢想，你想要完成的時候，會想要規劃的那一種控制，就不是我書裡面講的這個控制。那還有一個類型就是逃避型的，就我不想要面對我的帳單，反正我付得出來就好了。
[12:49] 主持人：我我好像是這樣欸。
[12:50] 來賓：但其實也沒有什麼關係，像老師的狀況可能就跟一般上班族不太一樣，因為你還有公司，還有其他的部份要掌握，甚至其實之前在訪問好哥的時候，好哥也有提到說他也不記帳啊，但是他還是會進入規劃，是因為我們的資產規模的關係，像小資族群為什麼需要記帳，是因為他可能省個 3000、5000，對他來說，他的生活是可以被轉變的，我 3000、5000 塊放在投資工具裡面，然後我放個 10 年，我的孩子就有機會去累積到 10 幾 20 萬，那對我來說生活是會改變的。那如果不是像這樣子的類型的話，我其實每一個計畫都能夠完成，我也不見得要記帳。
[13:32] 主持人：所以控制型跟逃避型。
[13:34] 來賓：逃避型，然後還有很自由的，自由自在的類型。
[13:38] 主持人：哇，這個是每個財富自由的。
[13:40] 來賓：花錢的速度真的很快啊，非常享受當下呀，對，也是有這樣子的類型啊。
[13:46] 主持人：這種應該是很多人的夢想。
[13:48] 來賓：夢想。
[13:49] 主持人：對不對。
[13:49] 來賓：對，不是不行，但是我們也要有預算的掌握。因為我後來有發現啊，賺錢越多的人花錢越快。
[13:57] 主持人：就會越容易會變成這一型。
[13:59] 來賓：對，我在看同學們的資產負債表的時候發現一個很有趣的��情，他的月收入只要到七八萬以上，他的收支會完全不一樣，就是他的支出可能很高，可是你的月收入可能在三萬四萬左右的，他反而有存比較多錢。
[14:15] 主持人：喔。
[14:16] 來賓：對，因為他覺得說，啊，反正我就賺這麼多了，所以我花多一點也是應該的。
[14:20] 主持人：是。
[14:20] 來賓：然後你又沒有在控制，你又沒有在計算的時候，就很容易東西買好一點，啊，反正我收入這麼高，下個月又進來了，反而再看資產負債表的時候，你會覺得，啊，好有趣喔，這是心態上面的問題，我覺得我應該，我覺得我有能力的時候，我就相對會比較有安全感，我就把錢花掉了。可是當我的薪水只有三萬多塊，我覺得我要小心翼翼的花的時候，錢就留下來了。
[14:45] 主持人：所以你還是要去看你的收入跟支出，減掉最後的，就有點像。
[14:49] 來賓：對啊，對對對對對。
[14:50] 主持人：對，那才準嘛，你不能只看收入。
[14:52] 來賓：那才準啊。然後還有第四種是焦慮型的，就我已經存了很多很多錢了。
[14:58] 主持人：但還不夠。
[14:59] 來賓：但我覺得不安，我書裡面有寫了兩個案例，一個是那個竹科太太的案例嘛。
[15:04] 主持人：喔。
[15:04] 來賓：然後另外一個案例是我一個很好的朋友，他是一間行銷公司的老闆，然後年紀跟我一樣大，他們公司的營收是破億的。
[15:13] 主持人：哇。
[15:13] 來賓：但是他就很沒有安全感，因為他們家裡面的人都是依靠著他，然後有一陣子媽媽癌症需要很多的治療的方案這樣子，那他也捨得，就只要聽到可以讓媽媽舒服一點的，即便是一百萬他都買。那還有他的兄弟姐妹，那時候也是比較依靠著他，他會很有責任心的，甚至連姐姐的小孩的學費他都付的這一種。他就會覺得我好像有任何狀況，我要可以第一時間站出來，去協助到我所有的家人，所以他的責任心讓他覺得他賺再多都不夠，然後盤點了他自己的資產負債，我說小姐，你的現金有四千萬，你焦慮什麼啦。
[15:54] 主持人：喔，這種人最討厭了。
[15:56] 來賓：真的，可是你跟他出去你就會知道他就是一個客客氣氣的女孩，然後我們也會一起吃的可能就是吃大胖肉羹啊，也不會說真的要要吃大餐什麼的，但只要遇到朋友，遇到家人，甚至他姐姐們的房子，就投期款都他付這樣子。焦慮型它來自於我有可能有一些未知的狀況我需要面對的。
[16:17] 主持人：所以他會一直擔心，擔心��有什麼狀況，所以他都要先想起來放。
[16:22] 來賓：沒錯，然後就一直存一直存一直存，一直賺錢一直賺錢一直賺錢。
[16:26] 主持人：好，那其實我想這四種類型大概或多或少都會有，或者是我們可能是混合了一兩種啊。
[16:32] 來賓：大部分是混合。
[16:33] 主持人：那我要怎麼判斷我自己的狀態是好或者是，不好，就是我我們需要調整。
[16:39] 來賓：就是你當下你如果你覺得你是自在開心的，那就是好啊，那你自在開心是源自於你有安全感嘛，那如果說你沒有安全感，那一定有有一些問題發生需要調整的，這時候我們再來探索就可以了。
[16:53] 主持人：欸，那這個是指個人嘛，那萬一比如說我跟我的伴侶，兩個人如果可能不同型的。
[16:58] 來賓：對。
[16:59] 主持人：我們要怎麼溝通這個金錢觀？
[17:01] 來賓：我通常都會先接觸對方的情緒，我會告訴他說，我知道你現在的焦慮大概是什麼，然後我可以感受到，因為我們來自不同的家庭嘛，但是我對我的家庭，為什麼會做這樣的規劃，是因為我對我有什麼樣子的期待跟目標，你可不可以聽聽看，就我們來想一想，如果說要完成我的期待跟目標，跟完成你的期待跟目標，我們可以怎麼做。跟我先生，在小孩的教育上非常非常不同，就我先生是就一路就念分配的學校，那我從小念私立學校，然後後來出國唸書，所以我們對小孩的教育完全不同的期待。我就會一直去找各種不同的體制啊，然後實驗學校啊，參加不同的營隊培養孩子的能力。我先生就覺得，啊，他分配的學校就這幾間，你就念一念就好了，我們都這樣長大的嘛。所以他其實背後會需要準備的教育經費，會差非常非常的多。
[18:00] 主持人：嗯。
[18:00] 來賓：所以我跟我先生其實是慢慢的去磨合彼此的，例如說，我在孩子去參加活動的時候，我就會告訴他說，這場活動我想要孩子可以體驗到什麼，然後他學到什麼，我們大概需要多少錢，然後這個錢我是有規劃的，所以請他放心。這個過程大概也走了快四年，的時間，就我兒子出生，然後到幼稚園畢業，到最後呢，我是傾向讓孩子念實驗型的學校，但我先生呢，他是覺得念公立學校就好了。最後我們就綜合彼此的意見，我們去念了一所教學比較活潑一點的私立雙語學校。
[18:39] 主持人：哇。
[18:40] 來賓：對，就不是。
[18:40] 主持人：真的是綜合一點。
[18:41] 來賓：綜合一點的，所以其實有很多人會說，我���識 Sandy Tu 老師應該就是會念實驗學校的，我還有一個先生喔，我們是需要討論的。所以其實我覺得第一個先認同對方，的確他的生活經驗帶給他的就是這樣啊，我念分配的學校就好了。所以我要告訴他說，為什麼我這樣子選擇，然後我也尊重他的選擇，然後再來是有規劃，有 solution 的，那財務也是準備好的，或許我們可以一起試試看。
[19:10] 主持人：對，你剛剛提到一剛開始先接觸情緒這一點非常的重要。我們在談關係經營，或者是你一旦你雙方兩個人的價值觀，或者是想法不一樣的時候，衝突的當下你必然會有情緒。
[19:19] 來賓：嗯。
[19:23] 主持人：所以你在情緒的時候，你再說我比較對或你比較錯。
[19:27] 來賓：就吵架啦。
[19:28] 主持人：那其實是沒有用的。
[19:29] 來賓：嗯。
[19:30] 主持人：所以你剛剛所說的是，我可以理解你的原生家庭，你的教養的經驗，那我是什麼樣，這個真的要大家平心靜氣，沒有情緒的狀態才能談。
[19:39] 來賓：對。
[19:41] 主持人：所以你前面第一步就是非常重要，你第一步沒有做。
[19:44] 來賓：後面都不用了。
[19:45] 主持人：我覺得。
[19:46] 來賓：後面都沒用了。
[19:47] 主持人：那後面也��確，我覺得我們大家都要有一個認知，就是你要改變你從小到大原生家庭所灌輸你的，這樣子的行為模式或思維模式，是非常困難的。
[19:57] 來賓：是。
[19:58] 主持人：所以很多人會覺得說，溝通就是我今天跟你講一講，好，你答應喔，那就是這樣喔。
[20:02] 來賓：沒錯。
[20:03] 主持人：做不到嘛。
[20:04] 來賓：不是，做不到的。
[20:04] 主持人：怎麼可能。
[20:05] 來賓：怎麼可能，所以我才說我們走了四年的時間，到最後雙方都同意給孩子念像這樣的學校。然後我還傾向大學的時候，我孩子如果有能力的話，可以出國去唸書。我先生到現在孩子七歲，他放不了手。我就跟我先生講說沒關係，你還有 11 年的時間，我們可以好好來溝通。我先生，我其實也不會立刻跟他講說我是對的還是我是錯的，因為我們還要尊重孩子啊。
[20:29] 主持人：對啊。
[20:30] 來賓：嗯。
[20:31] 主持人：因為這個部分真的是我們在生活上，你會需要開始去做溝通跟磨合的地方啦，因為我覺得很多人都太習慣，反正你同意我就對了。
[20:41] 來賓：對。
[20:42] 主持人：或者是如果我說不過你說好啦，沒關係，就照你。
[20:44] 來賓：那算了算了這樣。
[20:46] 主持人：對，可是喔，比方說我照你的，啊，等到做了，搞不好出什麼狀況的時候，你說你看吧。
[20:52] 來賓：對啊。
[20:53] 主持人：你當初你就是不聽我的。
[20:54] 來賓：對。
[20:55] 主持人：就又是埋下那種吵架的伏筆。
[20:57] 來賓：真的。
[20:58] 主持人：好，那我們講完伴侶之間啊，孩子呢？金錢觀會來自我們的原生家庭，那現在我們變原生家庭啊。
[21:06] 來賓：對，我們是原生家庭。
[21:08] 主持人：如果就你的觀點，你覺得該給孩子什麼樣子的金錢觀是合適的？
[21:12] 來賓：其實我常常會跟孩子討論我們怎麼用錢。就例如說他現在的學費很貴。
[21:18] 主持人：等一下你孩子七歲？
[21:20] 來賓：七歲。
[21:20] 主持人：那。
[21:20] 來賓：那我會跟他討論說，你現在念的學校是什麼學校，為什麼我選這間學校，然後他的學費要多少錢，跟其他的學校有什麼不一樣。這是在討論媽媽的價值觀，那不代表我是對的，那爸爸有爸爸的想法，所以他其實知道每個人是不同的。然後從幼稚園大概四五歲的時候，去到超市買東西，我就會告訴他我的選擇是什麼，為什麼媽媽要選這個板豆腐，為什麼媽媽要選這個百分之百的生乳做的牛奶。所以他其實在從小他就沒有很逃避討論金錢跟價值，所以我會帶他看，欸，這個牛奶比較貴，可是為什麼我們選比較貴的。然後我也會跟他討論說我的工作是什麼類型，所以他前一陣子他也問我，媽媽，那你現在你的員工他是怎麼領薪水的？他會跟我。
[22:07] 主持人：有沒有勞健保？
[22:08] 來賓：他沒有問到勞健保，他就問說，那那個阿姨他們是怎麼領薪水的，那個阿姨他是怎麼樣，你們公司是怎麼賺錢的，我也會跟我兒子講。他一個禮拜有 50 塊錢的零用錢嘛，給零用錢是為了讓他學會掌握金錢的使用。我就說那你現在阿媽之前你生日的時候包我那個紅包，再加上外婆給你的紅包，你現在有 3000 塊了，那我們來想想看這 3000 塊要做什麼。然後他之前跟我講說，他覺得那個太空衛星這些東西很有趣，所以他想要投資那部分的公式。我說，喔，這個對媽媽來說有一點難，那怎麼辦，我們去研究一下。所以我就找了兩隻台灣有做太空，就是低軌衛星之類的 ETF，然後我就說弟弟，我找到兩個，我們討論一下裡面的公司組成是什麼。然後有一些可能是做能源的，然後有一些可能是做通訊的，那為什麼他們都跟太空有關，那你覺得你比較喜歡哪一個。所以後來我就帶他去買了一隻 ETF 是跟低軌衛星。
[23:09] 主持人：七歲就去買 ETF 啊。
[23:10] 來賓：對對對。
[23:11] 主持人：我還以為七歲想要去買那個太空的模型或太空說的玩具之類的。
[23:15] 來賓：對對對，我就跟他討論，那他可以做些什麼啊，他需要什麼，一個太空船要升上空，我帶他去看那個 Elon Musk 他們就是 SpaceX 太空升空的時候的那個影片，要升上空有可能需要能源，然後太空人要跟地球通訊，要要怎麼樣怎麼樣之類的，所以我們這些公司都在做些什麼。所以其實我覺得這大概念就是不要逃避跟孩子討論什麼投資啊，或是金錢。
[23:42] 主持人：他七歲的小孩會買玩具吧。
[23:44] 來賓：有啦，他他有分配他的錢是可以買玩具的，就是他的存錢筒。
[23:49] 主持人：他會有幾個不同的。
[23:50] 來賓：對，他有不同的 part，他有存錢筒是可以買玩具的，我也會問他說你壓歲錢拿到多少錢，你要拿去做些什麼，然後拿去買玩具，多少錢我們存下來以後你可以賺學費之類的。所以他其實是很輕易的可以跟你討論錢，然後討論工作，討論怎麼樣獲利。他甚至也知道說有一些員工是就是固定領薪水的，這個東西叫做固定成本，然後呢，有���些員工呢，他是跟媽媽的合作是媽媽有賺錢，然後我們才分潤的，那這個呢，就是變動成本，然後什麼時候變動成本要轉固定成本，我覺得跟他講說，當我們的錢賺到比較多的時候，我要分他比較多，可是他領固定的薪水，媽媽可能付的比較少，這時候呢，就有可能會從變動成本轉固定成本。
[24:40] 來賓：我不知道他聽不聽得懂，但是呢，他越來越有概念了。
[24:44] 主持人：對啊，其實一剛開始我們都會覺得，比如說七歲八歲，你說你這麼小，你哪知道這是什麼東西。
[24:49] 來賓：對啊。
[24:50] 主持人：但孩子就是因為不懂嘛，他就像白紙，那你這樣講，一剛開始可能懵懵懂懂，那後來其實我們的知識是這麼建構者，就慢慢補，慢慢補，慢慢補。
[25:00] 來賓：對啊，反正他聽不懂就算了，我我講完了我也開心。
[25:02] 主持人：對啊，那之後同樣的東西再提到，他才會越來越清楚。那你剛剛講的例子我很喜歡的是，我們可以讓孩子知道到底價值跟價格，它的差別是什麼。
[25:14] 來賓：沒錯。
[25:15] 主持人：因為有時候我們都會直接用價格去看待一個產品，選便宜的買或選貴的買。
[25:21] 來賓：對對對。
[25:21] 主持人：但我覺得金���觀當中有一個很重要就是你怎麼去判斷這個東西的價值是多少，比如說同樣是一瓶可樂，它在便利商店裡面，跟在迪士尼樂園裡面。
[25:32] 來賓：為什麼價錢不一樣。
[25:33] 主持人：對，它就不一樣嘛，它背後一定有它的脈絡嘛，跟在那種五星級飯店，它有一個很漂亮的高腳杯裡面還有冰塊倒出來。
[25:34] 來賓：對。
[25:41] 主持人：它就是不一樣。
[25:43] 來賓：對。
[25:44] 主持人：對，所以其實這些我們都可以讓孩子可以去讓他慢慢的去知道其實這個現實世界的建構，它所謂的價值，它背後還有非常多無形或有形的部分。
[25:55] 來賓：沒錯，所以我兒子很好笑，他如果在飯店裡面他想要喝飲料可樂果汁，他就會說，媽媽，這個在外面便利商店可以買三瓶，所以我如果現在不點，我等一下可以買兩瓶嗎？
[26:07] 主持人：欸，聰明。
[26:08] 來賓：所以我覺得是很有趣的，還有另外一個就是預算的概念，我覺得現在對家長來說是非常適用的，因為有很多時候小朋友吵鬧著買玩具，這很正常。那當然第一步接觸情緒，先同理他，就是媽媽知道這個機器人好像很酷欸，但是我們今天是出來吃晚餐的，或者說我們今天是出來買菜的，我沒有��算買這個機器人。那其實我們有很多東西可以去討論，第一個是預算嘛，還有你買這個機器人你想要做什麼用，我們是不是有同樣的東西，一樣的功能，家裡面已經有了。其實它可以延伸很多議題，只要我們有耐心跟孩子講話，其實他都可以學到。他中間一定會覺得，哈，可是媽媽你講那麼多，你還是不給我買啊。
[26:53] 來賓：不是買跟不買的選項，就我會告訴他說是什麼時候可以買，例如說，我們先把它拍照起來，放在你的願望清單裡面，那我們聖誕節的時候我可以考慮買給你，或者是你生日的時候，你們自己約定一個特殊的時候，可能有的家庭一個月買一次之類的，就是要有一個界線。他就會知道媽媽沒有說不行，但坦白說他可能之後就忘記了。
[27:18] 主持人：就忘記了。
[27:19] 來賓：對。
[27:20] 主持人：其實這個也是我常常用的招式，我說好，可以買，但是下次來再買。
[27:24] 來賓：對，他就忘記了啊。
[27:26] 主持人：對，因為其實孩子很多都是當下的衝動，看起來很漂亮，很想買。
[27:29] 來賓：對。
